region,life_expectancy_total,life_expectancy_male,life_expectancy_female,total_deaths,under5_mortality
Iraq,70.2,67.5,73.5,232.6,18.8
Jordan,75.7,74.1,77.6,45.5,11.5
Kuwait,80.7,78.1,85.1,12.1,8.1
Lebanon,75.2,72.2,78.4,49.6,7.7
Libya,70.8,68.7,73.4,46.3,21.6
Morocco,72.3,70.9,73.9,285.8,14.8
Oman,72.7,70.5,76.3,17.0,9.1
Palestine,73.8,71.5,76.2,19.5,10.8
Qatar,77.2,76.1,79.2,5.1,3.6
Saudi Arabia,73.1,71.8,75.1,155.8,4.2
Sudan,68.0,66.3,70.1,245.6,36.8
Syria,72.4,70.1,74.7,104.4,10.0
Tunisia,73.7,70.8,77.1,103.4,10.3
Türkiye,75.2,72.3,78.3,654.3,11.1
United Arab Emirates,75.0,77.5,71.5,20.1,4.8
Yemen,65.3,62.4,68.5,216.5,38.9
South Asia,68.5,66.4,70.8,14812.6,37.1
Bangladesh,72.3,70.6,74.1,1095.0,28.0
Bhutan,73.7,72.7,74.9,4.4,29.3
India,68.7,66.6,71.2,11743.0,33.1
Nepal,68.4,66.1,70.8,252.4,28.4
Pakistan,65.0,63.8,66.4,1717.7,56.3
"Southeast Asia, east Asia, and Oceania",75.4,72.5,78.6,17750.8,14.6
East Asia,77.6,74.8,80.7,12130.4,7.3
China,77.6,74.9,80.7,11702.4,7.2
North Korea,73.3,70.1,76.2,242.4,10.5
Taiwan (province of China),81.3,78.1,84.6,184.1,4.6
Oceania,64.4,62.5,66.6,107.8,47.1
American Samoa,71.0,69.3,72.8,0.4,12.1
Cook Islands,76.1,72.9,79.6,0.2,5.4
Fiji,66.1,63.8,68.8,9.4,19.3
Guam,77.9,73.5,82.9,1.2,12.0
Kiribati,64.1,61.1,67.0,1.0,36.4
Marshall Islands,65.0,63.4,66.8,0.4,19.9
Federated States of Micronesia,67.0,64.5,69.7,0.8,15.4
Nauru,62.3,59.2,65.7,0.1,24.5
Niue,67.1,65.1,69.2,0.0,51.1
Northern Mariana Islands,72.0,69.5,75.0,0.4,6.2
Palau,68.7,67.7,70.5,0.2,16.9
Papua New Guinea,63.5,61.9,65.5,80.7,52.7
Samoa,70.7,69.6,71.9,1.4,13.0
Solomon Islands,65.9,63.7,68.4,4.6,19.5
Tokelau,67.5,67.1,67.8,0.0,64.0
Tonga,73.1,70.6,75.7,0.7,11.7
Tuvalu,68.0,65.8,70.6,0.1,17.3
