lancet_label,expected_le_1950,observed_le_1950,diff_1950,expected_le_1990,observed_le_1990,diff_1990,expected_le_2000,observed_le_2000,diff_2000,expected_le_2010,observed_le_2010,diff_2010,expected_le_2021,observed_le_2021,diff_2021,sdi_value
Global,65.5582617555982,51.560411945267866,13.99784981033033,72.2051812457713,68.07678023400382,4.12840101176748,73.5755407418334,69.83263550518082,3.7429052366525752,74.8195580384086,73.26861962258774,1.5509384158208661,76.1547617030033,74.76836280173357,1.3863989012697289,0.665820974847562
"Central Europe, eastern Europe, and central Asia",72.2051812457713,63.83598756142221,8.369193684349092,75.4869414194759,73.81133457947347,1.6756068400024304,76.5611958711918,73.23250535094394,3.3286905202478607,77.9920854469424,75.74354030346692,2.248545143475482,79.259242862653707,75.49680574054015,3.7624371221135533,0.769466346073944
Central Asia,68.566706333017,51.892124321330385,16.67458201168661,73.1367533946436,71.64944356802447,1.4873098266191391,73.8600248306864,70.97152061829587,2.8885042123905293,75.3538195667091,73.60489313050581,1.7489264362032912,76.1547617030033,74.26579005185116,1.888971651152147,0.675163978206939
Armenia,69.4376046972604,52.165681431860776,17.27192326539962,72.8349361524656,73.90573358744486,-1.070797434979255,73.8600248306864,74.91084857595261,-1.0508237452662144,75.8867615917168,77.12573100574664,-1.2389694140298388,77.2583618585503,78.59716850276,-1.338806644209697,0.701833194147139
Azerbaijan,67.6314133302304,39.24261205879688,28.388801271433522,74.27695938059,70.62176286471097,3.6551965158790267,73.8600248306864,70.59076625580146,3.269258574884944,75.7533094834353,73.04246838934698,2.710841094088323,76.9758259836149,73.37434702273123,3.601478960883668,0.694851274415291
Georgia,72.9868451753022,56.9744102912909,16.01243488401129,75.8867615917168,73.67135891721271,2.215402674504091,75.2206238903527,73.96868101358687,1.251942876765824,76.4249669154543,77.8653337407987,-1.4403668253443982,78.1441298705599,75.83978001371759,2.3043498568423075,0.732473604476306
Kazakhstan,69.2257150765922,61.30859008994402,7.917124986648176,74.1391275715876,72.64181981910859,1.4973077524790028,75.6200752848877,70.46560045553241,5.154474829355294,76.6983334419813,72.99703391213481,3.7012995298464944,77.6934696228319,73.85955627774875,3.833913345083147,0.725144495100349
Kyrgyzstan,69.0099795820207,51.930374860420926,17.07960472159978,72.0417136731455,70.94638042985817,1.0953332432873282,72.8349361524656,71.35385788659121,1.4810782658743875,73.1367533946436,73.80986820954851,-0.6731148149049062,74.6849839445894,76.13011776215681,-1.4451338175674096,0.603979328412055
Mongolia,61.6310629976022,39.91256373967067,21.718499257931533,70.050868820996,65.50585489539164,4.545013925604366,72.2051812457713,67.04613296858139,5.15904827718991,73.7185131922834,71.06932210415637,2.6491910881270258,74.9536101128661,74.60276806149936,0.3508420513667403,0.617621564638127
Tajikistan,61.9547290274367,40.61097142423138,21.34375760320532,70.050868820996,68.62929290513226,1.421575915863741,69.6457129421574,68.97308277642674,0.6726301657306664,71.0027887547265,71.68933855562443,-0.6865498008979358,72.3661382011684,72.06241361047057,0.30372459069782565,0.541511187051998
Turkmenistan,68.3390499889094,48.7687036225786,19.570346366330796,73.4309952746431,69.25489966290856,4.176095611734539,73.4309952746431,70.0296723368192,3.401322937823892,75.0872593306442,73.08532662111651,2.0019327095276935,76.6983334419813,71.51425355533833,5.1840798866429765,0.682160775869611
Uzbekistan,65.2799188138218,52.057698700871235,13.22222011295056,71.5352857676637,72.72148016195585,-1.1861943942921584,73.1367533946436,71.48354669185362,1.653206702789987,74.8195580384086,73.40763076161576,1.411927276792838,75.6200752848877,75.10064383904451,0.5194314458431961,0.662621694181816
Central Europe,70.6320829088109,58.87541985349563,11.756663055315272,75.3538195667091,74.58164021533986,0.7721793513692461,77.1164068999939,76.4003504639347,0.7160564360592048,78.7710642760587,78.95648913179808,-0.1854248557393845,80.0938300555705,78.2993417031065,1.7944883524640005,0.796244447535816
Albania,64.4196664780328,50.15450306057481,14.265163417457984,73.2847680345981,75.66696468644516,-2.382196651847053,74.0001899335917,78.39421523277385,-4.394025299182147,75.8867615917168,80.41408898760638,-4.5273273958895714,77.2583618585503,78.6843752553064,-1.4260133967561046,0.706849790878611
Bosnia and Herzegovina,60.6428371254562,47.452957835813756,13.189879289642441,72.6809164009106,76.22529080593934,-3.5443744050287336,74.5497703263887,78.0342169815293,-3.4844466551406015,76.5611958711918,79.83647032639952,-3.2752744552077218,77.841883595519,78.27539564707858,-0.43351205155958894,0.72307789321024
Bulgaria,69.8501095562065,58.86152008761185,10.988589468594654,75.3538195667091,73.47239986554825,1.8814197011608513,76.5611958711918,73.67649617121921,2.884699699972586,77.9920854469424,75.91870613838674,2.0733793085556584,79.259242862653707,73.71181571943684,5.547427143216865,0.768150939342518
Croatia,70.24806740807,52.889376334372635,17.358691073697365,76.2895284001803,75.7389456108312,0.5505827893491073,77.2583618585503,78.08944890819568,-0.8310870496453759,78.93228906303,80.01849400815533,-1.0862049451253313,80.261372930289,80.30170763927522,-0.04033470898622227,0.798341026936276
Czechia,73.7185131922834,68.10634592441907,5.612167267864322,76.5611958711918,75.6379900313224,0.9232058398693965,79.259242862653707,78.4315906478411,0.827652214812602,80.5938426661382,80.91433222274863,-0.32048955661042555,81.2476223708153,80.85352442304433,0.39409794777095897,0.828450433122785
Hungary,71.5352857676637,62.37434529590735,9.160940471756348,75.7533094834353,73.8358971698556,1.9174123135797032,77.5467977046945,76.07639943935673,1.4703982653377636,79.0950774577826,78.48324468080408,0.6118327769785168,79.9258958724552,77.96879496298625,1.9571009094689487,0.790754768173338
Montenegro,69.6457129421574,66.44751847866418,3.1981944634932233,76.4249669154543,78.27158927984514,-1.8466223643908393,76.4249669154543,76.69346755383313,-0.2685006383788249,78.453875169857,77.70919493306323,0.7446802367937693,80.0938300555705,76.01116238018189,4.08266767538862,0.795800584021403
