lancet_label,expected_le_1950,observed_le_1950,diff_1950,expected_le_1990,observed_le_1990,diff_1990,expected_le_2000,observed_le_2000,diff_2000,expected_le_2010,observed_le_2010,diff_2010,expected_le_2021,observed_le_2021,diff_2021,sdi_value
Global,61.3516600092009,46.74953737727197,14.602122631928928,66.9129909472015,63.0490280924842,3.8639628547172933,67.9001894516402,64.77065171075616,3.1295377408840466,68.8010092707918,67.96115381503941,0.8398554557523852,69.8937329674347,68.95882151172952,0.9349114557051763,0.665820974847562
"Central Europe, eastern Europe, and central Asia",66.9129909472015,57.32373859010656,9.589252357094935,69.3219441760672,64.79415428346826,4.527789892598946,70.2725310550322,62.865330064142896,7.407200990889308,71.8035266758692,66.19303445232495,5.610492223544242,73.3638357795996,67.4299980572375,5.9338377223620995,0.769466346073944
Central Asia,64.0135576958273,45.898350083773565,18.115207612053737,67.5878133100411,63.95111909009671,3.6366942199443884,68.1026032878918,63.23909424868725,4.863509039204544,69.2146055187716,66.31758321323157,2.897022305540034,69.8937329674347,67.44664964823095,2.447083319203756,0.675163978206939
Armenia,64.745898768558,46.493946437781645,18.251952330776362,67.3714654296096,67.29152154083071,0.07994388877888525,68.1026032878918,69.26515656866465,-1.1625532807728547,69.6571215725685,70.50350869362566,-0.8463871210571625,70.9810210082652,71.34243223392502,-0.36141122565982187,0.701833194147139
Azerbaijan,63.2050152818964,35.05601634405938,28.14899893783702,68.4016353094166,62.73366633218382,5.667968977232782,68.1026032878918,64.06481799640802,4.037785291483772,69.5429748527881,67.19885178277136,2.3441230700167495,70.6849505104316,67.0414418279779,3.6435086824536995,0.694851274415291
Georgia,67.4805721023924,48.31585769084518,19.164714411547223,69.6571215725685,65.24125912087798,4.415862451690515,69.1090727576653,65.53713104368876,3.5719417139765426,70.1427995889438,67.68076550120625,2.4620340877375497,71.9830060842376,67.28123716156335,4.701768922674248,0.732473604476306
Kazakhstan,64.5697449302815,52.53015014656515,12.039594783716353,68.3022852523344,63.18646938812198,5.115815864212422,69.4313226958455,59.384372380146665,10.04695031569883,70.4060046048793,63.107200459101776,7.298804145777524,71.4597755817383,65.3216944578364,6.138081123901898,0.725144495100349
Kyrgyzstan,64.3890175086043,44.59541841484184,19.79359909376246,66.792087057897,62.502248841576495,4.289838216320511,67.3714654296096,62.58414439221229,4.787321037397312,67.5878133100411,65.21633472394052,2.3714785861005794,68.7004075346693,68.42151806637955,0.2788894682897478,0.603979328412055
Mongolia,57.6801665514504,36.76886836994689,20.91129818150351,65.2478919947039,59.76413909839327,5.483752896310634,66.9129909472015,60.60080670310327,6.312184244098226,68.0018442956573,62.62601239200321,5.375831903654095,68.9025017564884,65.67303261871844,3.229469137769968,0.617621564638127
Tajikistan,57.989908411894,39.335134134388696,18.654774277505304,65.2478919947039,63.65717482835141,1.5907171663524977,64.9175730034801,64.73195760814303,0.1856153953370665,66.0028474158672,67.88840322852948,-1.8855558126622896,67.031233289102,66.9023438354764,0.12888945362560378,0.541511187051998
Turkmenistan,63.8187222956123,44.26127676091099,19.55744553470131,67.7974306339347,62.64277391578558,5.154656718149113,67.7974306339347,62.34489268356999,5.452537950364707,69.0051140984166,65.56511940090171,3.4399946975148907,70.4060046048793,64.33675069252192,6.069253912357382,0.682160775869611
Uzbekistan,61.0976744223342,47.344655645150944,13.753018777183257,66.4119742140917,66.11293841985253,0.2990357942391739,67.5878133100411,65.6999998625422,1.8878134474988997,68.8010092707918,68.05834723979738,0.7426620309944099,69.4313226958455,69.89793429496997,-0.4666115991244766,0.662621694181816
Central Europe,65.7124112095818,54.636930717616025,11.075480491965777,69.2146055187716,66.92724531714418,2.287360201627422,70.8307681352004,69.08151878894152,1.7492493462588783,72.7483783980807,71.74626871913706,1.00210967894364,74.4388920061915,71.25209007366668,3.1868019325248156,0.796244447535816
Albania,60.3065829011913,49.542869884539705,10.763713016651593,67.6933698132341,69.81297679544375,-2.119606982209646,68.2026795378704,71.93961911152162,-3.7369395736512274,69.6571215725685,75.74154658645627,-6.084425013887767,70.9810210082652,73.61898712105575,-2.6379661127905507,0.706849790878611
Bosnia and Herzegovina,56.7258031839004,45.55834737615488,11.167455807745526,67.2603173307846,70.55110937135345,-3.2907920405688458,68.6004660816861,72.65185550800479,-4.051389426318693,70.2725310550322,74.30980122133253,-4.037270166300331,71.6291233137131,72.57459891316016,-0.9454755994470645,0.72307789321024
Bulgaria,65.0848703582523,55.29971974768606,9.785150610566241,69.2146055187716,66.64878017953636,2.5658253392352464,70.2725310550322,66.62012159117762,3.652409463854582,71.8035266758692,68.72217860356228,3.081348072306909,73.3638357795996,66.44066846303161,6.923167316567984,0.768150939342518
Croatia,65.4067428054233,48.908689186659835,16.49805361876347,70.0166072103027,68.1459506085487,1.8706566017539927,70.9810210082652,70.89413499526492,0.08688601300028154,72.9501026759086,73.67822369047819,-0.7281210145695951,74.655606397288,74.11931930154553,0.5362870957424661,0.798341026936276
Czechia,68.0018442956573,63.92629069002535,4.07555360563196,70.2725310550322,67.5504809622935,2.722050092738698,73.3638357795996,71.68995914156021,1.6738766380393884,75.085271077521,74.58595269747634,0.4993183800446559,75.9291482723333,74.42265753165611,1.5064907406771795,0.828450433122785
Hungary,66.4119742140917,57.6728858580914,8.739088356000302,69.5429748527881,65.17993612174435,4.363038731043758,71.295384447385,67.52996287739109,3.7654215699939186,73.1553410840384,70.7513143167475,2.404026767290901,74.2214668911628,70.93614235555066,3.2853245356121477,0.790754768173338
