lancet_label,sex,expected_le_1950,observed_le_1950,diff_1950,expected_le_1990,observed_le_1990,diff_1990,expected_le_2000,observed_le_2000,diff_2000,expected_le_2010,observed_le_2010,diff_2010,expected_le_2021,observed_le_2021,diff_2021,sdi_value
Global,female,65.5582617555982,51.560411945267866,13.99784981033033,72.2051812457713,68.07678023400382,4.12840101176748,73.5755407418334,69.83263550518082,3.7429052366525752,74.8195580384086,73.26861962258774,1.5509384158208661,76.1547617030033,74.76836280173357,1.3863989012697289,0.665820974847562
Global,male,61.3516600092009,46.74953737727197,14.602122631928928,66.9129909472015,63.0490280924842,3.8639628547172933,67.9001894516402,64.77065171075616,3.1295377408840466,68.8010092707918,67.96115381503941,0.8398554557523852,69.8937329674347,68.95882151172952,0.9349114557051763,0.665820974847562
"Central Europe, eastern Europe, and central Asia",female,72.2051812457713,63.83598756142221,8.369193684349092,75.4869414194759,73.81133457947347,1.6756068400024304,76.5611958711918,73.23250535094394,3.3286905202478607,77.9920854469424,75.74354030346692,2.248545143475482,79.259242862653707,75.49680574054015,3.7624371221135533,0.769466346073944
"Central Europe, eastern Europe, and central Asia",male,66.9129909472015,57.32373859010656,9.589252357094935,69.3219441760672,64.79415428346826,4.527789892598946,70.2725310550322,62.865330064142896,7.407200990889308,71.8035266758692,66.19303445232495,5.610492223544242,73.3638357795996,67.4299980572375,5.9338377223620995,0.769466346073944
Central Asia,female,68.566706333017,51.892124321330385,16.67458201168661,73.1367533946436,71.64944356802447,1.4873098266191391,73.8600248306864,70.97152061829587,2.8885042123905293,75.3538195667091,73.60489313050581,1.7489264362032912,76.1547617030033,74.26579005185116,1.888971651152147,0.675163978206939
Central Asia,male,64.0135576958273,45.898350083773565,18.115207612053737,67.5878133100411,63.95111909009671,3.6366942199443884,68.1026032878918,63.23909424868725,4.863509039204544,69.2146055187716,66.31758321323157,2.897022305540034,69.8937329674347,67.44664964823095,2.447083319203756,0.675163978206939
Armenia,female,69.4376046972604,52.165681431860776,17.27192326539962,72.8349361524656,73.90573358744486,-1.070797434979255,73.8600248306864,74.91084857595261,-1.0508237452662144,75.8867615917168,77.12573100574664,-1.2389694140298388,77.2583618585503,78.59716850276,-1.338806644209697,0.701833194147139
Armenia,male,64.745898768558,46.493946437781645,18.251952330776362,67.3714654296096,67.29152154083071,0.07994388877888525,68.1026032878918,69.26515656866465,-1.1625532807728547,69.6571215725685,70.50350869362566,-0.8463871210571625,70.9810210082652,71.34243223392502,-0.36141122565982187,0.701833194147139
Azerbaijan,female,67.6314133302304,39.24261205879688,28.388801271433522,74.27695938059,70.62176286471097,3.6551965158790267,73.8600248306864,70.59076625580146,3.269258574884944,75.7533094834353,73.04246838934698,2.710841094088323,76.9758259836149,73.37434702273123,3.601478960883668,0.694851274415291
Azerbaijan,male,63.2050152818964,35.05601634405938,28.14899893783702,68.4016353094166,62.73366633218382,5.667968977232782,68.1026032878918,64.06481799640802,4.037785291483772,69.5429748527881,67.19885178277136,2.3441230700167495,70.6849505104316,67.0414418279779,3.6435086824536995,0.694851274415291
Georgia,female,72.9868451753022,56.9744102912909,16.01243488401129,75.8867615917168,73.67135891721271,2.215402674504091,75.2206238903527,73.96868101358687,1.251942876765824,76.4249669154543,77.8653337407987,-1.4403668253443982,78.1441298705599,75.83978001371759,2.3043498568423075,0.732473604476306
Georgia,male,67.4805721023924,48.31585769084518,19.164714411547223,69.6571215725685,65.24125912087798,4.415862451690515,69.1090727576653,65.53713104368876,3.5719417139765426,70.1427995889438,67.68076550120625,2.4620340877375497,71.9830060842376,67.28123716156335,4.701768922674248,0.732473604476306
Kazakhstan,female,69.2257150765922,61.30859008994402,7.917124986648176,74.1391275715876,72.64181981910859,1.4973077524790028,75.6200752848877,70.46560045553241,5.154474829355294,76.6983334419813,72.99703391213481,3.7012995298464944,77.6934696228319,73.85955627774875,3.833913345083147,0.725144495100349
Kazakhstan,male,64.5697449302815,52.53015014656515,12.039594783716353,68.3022852523344,63.18646938812198,5.115815864212422,69.4313226958455,59.384372380146665,10.04695031569883,70.4060046048793,63.107200459101776,7.298804145777524,71.4597755817383,65.3216944578364,6.138081123901898,0.725144495100349
Kyrgyzstan,female,69.0099795820207,51.930374860420926,17.07960472159978,72.0417136731455,70.94638042985817,1.0953332432873282,72.8349361524656,71.35385788659121,1.4810782658743875,73.1367533946436,73.80986820954851,-0.6731148149049062,74.6849839445894,76.13011776215681,-1.4451338175674096,0.603979328412055
Kyrgyzstan,male,64.3890175086043,44.59541841484184,19.79359909376246,66.792087057897,62.502248841576495,4.289838216320511,67.3714654296096,62.58414439221229,4.787321037397312,67.5878133100411,65.21633472394052,2.3714785861005794,68.7004075346693,68.42151806637955,0.2788894682897478,0.603979328412055
Mongolia,female,61.6310629976022,39.91256373967067,21.718499257931533,70.050868820996,65.50585489539164,4.545013925604366,72.2051812457713,67.04613296858139,5.15904827718991,73.7185131922834,71.06932210415637,2.6491910881270258,74.9536101128661,74.60276806149936,0.3508420513667403,0.617621564638127
Mongolia,male,57.6801665514504,36.76886836994689,20.91129818150351,65.2478919947039,59.76413909839327,5.483752896310634,66.9129909472015,60.60080670310327,6.312184244098226,68.0018442956573,62.62601239200321,5.375831903654095,68.9025017564884,65.67303261871844,3.229469137769968,0.617621564638127
Tajikistan,female,61.9547290274367,40.61097142423138,21.34375760320532,70.050868820996,68.62929290513226,1.421575915863741,69.6457129421574,68.97308277642674,0.6726301657306664,71.0027887547265,71.68933855562443,-0.6865498008979358,72.3661382011684,72.06241361047057,0.30372459069782565,0.541511187051998
Tajikistan,male,57.989908411894,39.335134134388696,18.654774277505304,65.2478919947039,63.65717482835141,1.5907171663524977,64.9175730034801,64.73195760814303,0.1856153953370665,66.0028474158672,67.88840322852948,-1.8855558126622896,67.031233289102,66.9023438354764,0.12888945362560378,0.541511187051998
Turkmenistan,female,68.3390499889094,48.7687036225786,19.570346366330796,73.4309952746431,69.25489966290856,4.176095611734539,73.4309952746431,70.0296723368192,3.401322937823892,75.0872593306442,73.08532662111651,2.0019327095276935,76.6983334419813,71.51425355533833,5.1840798866429765,0.682160775869611
Turkmenistan,male,63.8187222956123,44.26127676091099,19.55744553470131,67.7974306339347,62.64277391578558,5.154656718149113,67.7974306339347,62.34489268356999,5.452537950364707,69.0051140984166,65.56511940090171,3.4399946975148907,70.4060046048793,64.33675069252192,6.069253912357382,0.682160775869611
Uzbekistan,female,65.2799188138218,52.057698700871235,13.22222011295056,71.5352857676637,72.72148016195585,-1.1861943942921584,73.1367533946436,71.48354669185362,1.653206702789987,74.8195580384086,73.40763076161576,1.411927276792838,75.6200752848877,75.10064383904451,0.5194314458431961,0.662621694181816
Uzbekistan,male,61.0976744223342,47.344655645150944,13.753018777183257,66.4119742140917,66.11293841985253,0.2990357942391739,67.5878133100411,65.6999998625422,1.8878134474988997,68.8010092707918,68.05834723979738,0.7426620309944099,69.4313226958455,69.89793429496997,-0.4666115991244766,0.662621694181816
Central Europe,female,70.6320829088109,58.87541985349563,11.756663055315272,75.3538195667091,74.58164021533986,0.7721793513692461,77.1164068999939,76.4003504639347,0.7160564360592048,78.7710642760587,78.95648913179808,-0.1854248557393845,80.0938300555705,78.2993417031065,1.7944883524640005,0.796244447535816
Central Europe,male,65.7124112095818,54.636930717616025,11.075480491965777,69.2146055187716,66.92724531714418,2.287360201627422,70.8307681352004,69.08151878894152,1.7492493462588783,72.7483783980807,71.74626871913706,1.00210967894364,74.4388920061915,71.25209007366668,3.1868019325248156,0.796244447535816
Albania,female,64.4196664780328,50.15450306057481,14.265163417457984,73.2847680345981,75.66696468644516,-2.382196651847053,74.0001899335917,78.39421523277385,-4.394025299182147,75.8867615917168,80.41408898760638,-4.5273273958895714,77.2583618585503,78.6843752553064,-1.4260133967561046,0.706849790878611
Albania,male,60.3065829011913,49.542869884539705,10.763713016651593,67.6933698132341,69.81297679544375,-2.119606982209646,68.2026795378704,71.93961911152162,-3.7369395736512274,69.6571215725685,75.74154658645627,-6.084425013887767,70.9810210082652,73.61898712105575,-2.6379661127905507,0.706849790878611
Bosnia and Herzegovina,female,60.6428371254562,47.452957835813756,13.189879289642441,72.6809164009106,76.22529080593934,-3.5443744050287336,74.5497703263887,78.0342169815293,-3.4844466551406015,76.5611958711918,79.83647032639952,-3.2752744552077218,77.841883595519,78.27539564707858,-0.43351205155958894,0.72307789321024
Bosnia and Herzegovina,male,56.7258031839004,45.55834737615488,11.167455807745526,67.2603173307846,70.55110937135345,-3.2907920405688458,68.6004660816861,72.65185550800479,-4.051389426318693,70.2725310550322,74.30980122133253,-4.037270166300331,71.6291233137131,72.57459891316016,-0.9454755994470645,0.72307789321024
Bulgaria,female,69.8501095562065,58.86152008761185,10.988589468594654,75.3538195667091,73.47239986554825,1.8814197011608513,76.5611958711918,73.67649617121921,2.884699699972586,77.9920854469424,75.91870613838674,2.0733793085556584,79.259242862653707,73.71181571943684,5.547427143216865,0.768150939342518
Bulgaria,male,65.0848703582523,55.29971974768606,9.785150610566241,69.2146055187716,66.64878017953636,2.5658253392352464,70.2725310550322,66.62012159117762,3.652409463854582,71.8035266758692,68.72217860356228,3.081348072306909,73.3638357795996,66.44066846303161,6.923167316567984,0.768150939342518
Croatia,female,70.24806740807,52.889376334372635,17.358691073697365,76.2895284001803,75.7389456108312,0.5505827893491073,77.2583618585503,78.08944890819568,-0.8310870496453759,78.93228906303,80.01849400815533,-1.0862049451253313,80.261372930289,80.30170763927522,-0.04033470898622227,0.798341026936276
Croatia,male,65.4067428054233,48.908689186659835,16.49805361876347,70.0166072103027,68.1459506085487,1.8706566017539927,70.9810210082652,70.89413499526492,0.08688601300028154,72.9501026759086,73.67822369047819,-0.7281210145695951,74.655606397288,74.11931930154553,0.5362870957424661,0.798341026936276
Czechia,female,73.7185131922834,68.10634592441907,5.612167267864322,76.5611958711918,75.6379900313224,0.9232058398693965,79.259242862653707,78.4315906478411,0.827652214812602,80.5938426661382,80.91433222274863,-0.32048955661042555,81.2476223708153,80.85352442304433,0.39409794777095897,0.828450433122785
Czechia,male,68.0018442956573,63.92629069002535,4.07555360563196,70.2725310550322,67.5504809622935,2.722050092738698,73.3638357795996,71.68995914156021,1.6738766380393884,75.085271077521,74.58595269747634,0.4993183800446559,75.9291482723333,74.42265753165611,1.5064907406771795,0.828450433122785
Hungary,female,71.5352857676637,62.37434529590735,9.160940471756348,75.7533094834353,73.8358971698556,1.9174123135797032,77.5467977046945,76.07639943935673,1.4703982653377636,79.0950774577826,78.48324468080408,0.6118327769785168,79.9258958724552,77.96879496298625,1.9571009094689487,0.790754768173338
Hungary,male,66.4119742140917,57.6728858580914,8.739088356000302,69.5429748527881,65.17993612174435,4.363038731043758,71.295384447385,67.52996287739109,3.7654215699939186,73.1553410840384,70.7513143167475,2.404026767290901,74.2214668911628,70.93614235555066,3.2853245356121477,0.790754768173338
Montenegro,female,69.6457129421574,66.44751847866418,3.1981944634932233,76.4249669154543,78.27158927984514,-1.8466223643908393,76.4249669154543,76.69346755383313,-0.2685006383788249,78.453875169857,77.70919493306323,0.7446802367937693,80.0938300555705,76.01116238018189,4.08266767538862,0.795800584021403
Montenegro,male,64.9175730034801,64.7179828105673,0.1995901929127939,70.1427995889438,71.54008043776085,-1.3972808488170472,70.1427995889438,70.95219448259701,-0.8093948936532058,72.3567032934546,72.56097125988506,-0.2042679664304643,74.4388920061915,69.75004175431502,4.688850251876474,0.795800584021403
North Macedonia,female,67.6314133302304,49.262880819382175,18.368532510848226,74.5497703263887,72.57801249639176,1.9717578299969318,75.4869414194759,73.65816554320524,1.8287758762706545,77.2583618585503,75.36091205857647,1.8974497999738276,78.6115528493146,74.24459045905898,4.3669623902556225,0.750629703270047
North Macedonia,male,63.2050152818964,50.38937189338198,12.815643388514424,68.6004660816861,68.29211755704554,0.3083485246405502,69.3219441760672,69.26665288645862,0.05529128960858998,70.9810210082652,71.30320042934247,-0.3221794210772657,72.5504177679333,69.18942079544983,3.3609969724834627,0.750629703270047
Poland,female,71.183347145972,59.64753631617068,11.535810829801314,75.0872593306442,75.62798153781962,-0.5407222071754205,77.2583618585503,78.03385291795807,-0.77549105940777,79.0950774577826,80.54578481009426,-1.4507073523116674,80.5938426661382,79.71997055504703,0.873872111091174,0.812042808667712
Poland,male,66.1426564114829,53.12171261976134,13.020943791721564,69.0051140984166,66.58835282957676,2.416761268839835,70.9810210082652,69.65859425533884,1.3224267529263614,73.1553410840384,72.14199028100036,1.013350803038037,75.085271077521,71.84109920506741,3.2441718724535917,0.812042808667712
