lancet_label,val.u5mort,lower.u5mort,upper.u5mort,val.u5mortROC,lower.u5mortROC,upper.u5mortROC,val.m45q15,lower.m45q15,upper.m45q15,val.f45q15,lower.f45q15,upper.f45q15,val.lexm,lower.lexm,upper.lexm,val.lexf,lower.lexf,upper.lexf,val.lexboth,lower.lexboth,upper.lexboth,val.deaths,lower.deaths,upper.deaths,val.u5deaths,lower.u5deaths,upper.u5deaths,2020.excess_deaths,2021.excess_deaths
Dominica,27.6,20.2,37.1,1.8,0.1,3.3,0.21,0.17,0.26,0.12,0.1,0.15,67.4,64.4,70.3,73.3,70.8,75.5,70.2,67.4,72.7,0.8,0.6,1,0,0,0,0,155.04990338594223
Dominican Republic,24.9,20.2,30.1,-2.4,-3.4,-1.4,0.2,0.17,0.23,0.1,0.09,0.12,70.5,68.3,72.5,77.3,75.5,78.9,73.7,71.8,75.5,73,64.1,82.9,0.4,0.3,0.5,1305.4979527186458,8642.573039242096
Grenada,12.6,10.1,15.6,-1.4,-2.3,-0.4,0.23,0.19,0.3,0.14,0.12,0.18,67.3,64.1,69.7,72.9,70.5,74.9,69.9,66.9,72.2,1.1,0.9,1.4,0,0,0,0,293.36379477174955
Guyana,22.7,17,29.7,-2.7,-4.2,-1.2,0.37,0.29,0.46,0.22,0.17,0.28,61.1,57,65.4,68.6,65,72.1,64.6,60.6,68.6,8.6,6.4,11.6,0,0,0,872.2918218133356,2426.1849376779523
Haiti,70.6,59.2,84.1,-1.9,-2.9,-1,0.34,0.26,0.43,0.28,0.23,0.35,58.8,54.9,62.5,61.5,58.2,64.6,60.1,56.5,63.6,131.4,104,166.4,1.9,1.7,2.1,14188.11407874027,25639.590976067277
Jamaica,15,11,20.1,-1.8,-3.5,0,0.16,0.13,0.2,0.12,0.1,0.15,72,69.1,75.1,76.4,73.7,78.9,74.1,71.3,76.9,24.2,19.5,29.2,0,0,0,-78.54323090694398,4808.779124699017
Puerto Rico,6.4,5.4,7.7,-2.7,-3.6,-1.7,0.16,0.13,0.18,0.06,0.05,0.07,76.6,74.4,79.1,84.5,82.8,86.4,80.6,78.5,82.8,34.1,29.1,39.3,0,0,0,1788.6844686967129,2174.3921664040918
Saint Kitts and Nevis,15.9,12.5,20.4,-1.6,-2.9,-0.4,0.21,0.18,0.24,0.1,0.09,0.12,68.5,66.7,70.2,75.5,73.9,77.1,71.8,70.1,73.5,0.5,0.5,0.6,0,0,0,3.001295860019415,79.56833473433369
Saint Lucia,15.6,11.2,21.2,-1,-2.7,0.6,0.2,0.16,0.25,0.11,0.09,0.14,69.7,66.4,72.7,76.5,73.8,78.9,72.9,69.7,75.6,1.9,1.6,2.5,0,0,0,50.71360148950045,432.34618276988243
Saint Vincent and the Grenadines,13,9.6,17.2,-3.1,-4.7,-1.6,0.22,0.2,0.24,0.14,0.12,0.16,69.7,68,71.3,75.2,73.7,76.6,72.2,70.5,73.7,1.2,1,1.3,0,0,0,5.5995444121878934,127.47040269019902
Suriname,24.8,18.9,32,-2.3,-3.7,-0.8,0.25,0.21,0.31,0.14,0.12,0.18,67.5,63.4,70.7,74.2,70.9,76.7,70.8,66.9,73.6,5.4,4.3,7.2,0,0,0,29.28857892179102,845.33636089605
Trinidad and Tobago,13.6,10.2,18,-3.2,-4.7,-1.7,0.25,0.2,0.31,0.14,0.11,0.17,67.6,64.1,71.2,75,72,78,71,67.7,74.4,16.7,12.8,21.4,0,0,0,949.3241782209125,4283.042759572811
Virgin Islands,5.9,4.8,7.3,-3.1,-3.9,-2.2,0.21,0.17,0.26,0.08,0.06,0.1,71.3,67.7,74.5,82.3,79.4,84.6,76.6,73.1,79.5,0.9,0.7,1.2,0,0,0,101.1243654999357,183.16087643975143
Central Latin America,15.4,11.9,19.7,-3.1,-4.5,-1.9,0.24,0.23,0.25,0.13,0.12,0.13,68.3,67.3,69.3,75.7,74.9,76.5,71.9,70.9,72.8,2077.5,1966.2,2200.7,5.3,4.7,6,497086.01379989536,610491.2196817462
Colombia,11.9,8.6,16.3,-3.8,-5.4,-2.1,0.16,0.15,0.18,0.08,0.08,0.1,72.6,70.8,74.5,79.7,78.2,81.2,76.1,74.5,77.8,354.5,314.2,397.9,0.8,0.7,0.9,49149.04699788971,104628.62430173886
Costa Rica,9.4,8.2,10.7,-1.4,-2,-0.7,0.17,0.17,0.18,0.08,0.08,0.08,74.3,73.9,74.6,81.2,80.8,81.5,77.7,77.3,78.1,30.7,29.9,31.5,0,0,0,1105.8238477553539,5538.163491361195
El Salvador,9.5,7.1,12.5,-5.3,-6.8,-3.9,0.28,0.24,0.32,0.12,0.1,0.14,67.9,65.4,70.4,77.2,75.4,79.1,72.7,70.6,74.9,52,44.8,59.9,0.2,0.1,0.2,5662.708152788858,11121.876863124387
Guatemala,25.5,20,32.6,-3.2,-4.4,-1.9,0.27,0.24,0.29,0.15,0.14,0.17,66.2,64.4,67.9,72.7,71.3,74.1,69.4,67.8,71,112.8,101.7,124.6,0.5,0.5,0.6,19838.302242563746,32525.504211867497
Honduras,15,12.2,18.2,-4.1,-5.3,-3.1,0.25,0.21,0.3,0.18,0.15,0.22,66.4,64.3,68.2,70.7,68.4,72.6,68.5,66.3,70.3,72.9,64.5,84.7,0.3,0.3,0.4,11759.807536267657,19478.617411261886
Mexico,14.8,11.6,18.9,-3.2,-4.5,-2,0.27,0.27,0.27,0.14,0.14,0.14,67.4,67,67.7,74.7,74.4,74.9,70.9,70.6,71.2,1115,1108,1122.8,2.5,2.2,2.9,335057.18494014005,340954.3204806429
Nicaragua,13.8,10.3,18,-4.6,-6,-3.1,0.21,0.19,0.23,0.11,0.1,0.12,69.9,68.5,71.2,76.8,75.6,77.9,73.3,72,74.4,38.3,35,42.2,0.1,0.1,0.1,13517.649461985939,15754.66697744286
Panama,14.1,11,17.8,-2.3,-3.5,-1,0.14,0.11,0.16,0.08,0.06,0.09,75.5,73.1,78.2,81.4,79.5,83.5,78.3,76.2,80.8,23.9,19.7,27.9,0.1,0.1,0.1,3039.315555552221,3257.6560029396205
Venezuela,19.7,14.8,25.8,-0.8,-2.2,0.5,0.28,0.23,0.32,0.13,0.11,0.16,65.1,62.2,68.1,74.6,72.3,76.9,69.7,67,72.3,276.3,231.1,325.6,0.7,0.6,0.8,57956.17506495182,77231.78994136704
Tropical Latin America,12,9.9,14.6,-4.8,-5.9,-3.7,0.22,0.22,0.23,0.12,0.12,0.12,70.2,69.9,70.4,77.3,77.1,77.6,73.7,73.4,73.9,1847.8,1830.1,1866.8,3.2,2.8,3.7,183922.78536805155,426068.36036803643
Brazil,11.9,9.8,14.4,-4.9,-6,-3.8,0.22,0.22,0.23,0.12,0.12,0.12,70.2,69.9,70.4,77.4,77.2,77.6,73.7,73.5,73.9,1797.1,1782.8,1811.9,3.1,2.7,3.5,183101.86022951538,410987.6792173174
Paraguay,14.7,10.5,19.6,-3,-4.5,-1.5,0.21,0.18,0.25,0.11,0.1,0.14,69,66.5,71.1,75.9,73.8,77.6,72.2,69.9,74.2,50.7,43.7,59.3,0.2,0.1,0.2,820.9251385361761,15080.681150719043
North Africa and Middle East,20.2,17.4,23.3,-4.8,-5.5,-4.1,0.19,0.18,0.21,0.12,0.11,0.13,68.9,67.8,70.1,73.7,72.6,74.7,71.1,70,72.2,4048.2,3731.1,4385.9,28.1,26.5,30.2,679364.3276598429,934096.8223068936
Afghanistan,48.7,40.5,58.4,-4.7,-5.7,-3.8,0.42,0.37,0.47,0.33,0.27,0.39,55.9,54,57.9,60.7,58.5,62.8,58.2,56.3,60.3,271.9,241.3,304.6,6.8,6.2,7.4,42861.22796545824,50034.673046669894
Algeria,16.9,13.4,21,-4.1,-5.4,-2.9,0.15,0.13,0.17,0.1,0.09,0.11,72.1,70.6,73.6,75.4,74.3,76.4,73.6,72.3,74.9,273.2,242.8,306,1.4,1.2,1.6,52561.88285590992,79052.59314312717
Bahrain,5.7,4.8,6.7,-3.5,-4.4,-2.7,0.13,0.11,0.14,0.09,0.08,0.1,72.2,71.1,73.3,75.1,74.1,76,73.3,72.3,74.4,6.3,5.6,7,0,0,0,927.5303503381388,1743.212503321591
Egypt,12.8,10.5,15.7,-6,-7.1,-4.8,0.24,0.2,0.27,0.14,0.12,0.17,66.9,65,68.7,70.2,68.7,71.6,68.4,66.7,70,711.5,612.5,823,4.2,3.7,4.8,89354.53791170871,152317.4500571738
Iran,5.3,4.4,6.2,-9.7,-10.7,-8.6,0.17,0.16,0.18,0.09,0.08,0.09,71.9,71.5,72.3,77.2,76.8,77.6,74.4,74.1,74.6,568.9,556.4,581.5,2.3,2.1,2.5,157549.55511072258,204587.50300419
Iraq,18.8,14.8,23.7,-4.3,-5.4,-3,0.21,0.17,0.26,0.13,0.1,0.16,67.5,65.6,70,73.5,71.6,75.4,70.2,68.3,72.5,232.6,193.3,269.3,1.6,1.3,1.8,59639.521557523236,49883.22098692255
Jordan,11.5,9.4,14.1,-3.9,-4.9,-2.8,0.13,0.11,0.15,0.08,0.07,0.09,74.1,72.4,75.9,77.6,76.1,78.9,75.7,74.1,77.3,45.5,39.2,52.3,0.4,0.3,0.4,8898.793962633912,15216.331096130374
Kuwait,8.1,6.6,9.7,-1.7,-2.6,-0.7,0.09,0.07,0.1,0.04,0.03,0.04,78.1,76.3,80,85.1,84,86.2,80.7,79.2,82.3,12.1,10.4,13.9,0.1,0.1,0.1,2121.2885656831195,2068.4376790893175
Lebanon,7.7,5.4,10.9,-4.9,-6.5,-3.2,0.16,0.14,0.17,0.08,0.07,0.09,72.2,70.9,73.3,78.4,77.4,79.3,75.2,74,76.2,49.6,45.6,54.6,0.1,0.1,0.1,7628.446432652074,17490.214225735446
Libya,21.6,16.9,27,-0.7,-1.9,0.5,0.2,0.17,0.24,0.13,0.11,0.16,68.7,66,71.1,73.4,70.9,75.4,70.8,68.2,73.1,46.3,38.9,55.7,0.3,0.2,0.3,5933.858428248462,9817.349895807532
Morocco,14.8,12.1,17.8,-5.9,-6.9,-4.8,0.16,0.13,0.19,0.13,0.1,0.16,70.9,69.4,72.9,73.9,72.2,75.8,72.3,70.7,74.3,285.8,240.8,318.4,0.8,0.7,1,51719.23331632899,46115.12627835754
Oman,9.1,8,10.2,-2.5,-3.1,-1.8,0.16,0.15,0.18,0.09,0.08,0.1,70.5,69.1,71.7,76.3,75.1,77.4,72.7,71.4,73.9,17,15.3,19,0.1,0.1,0.1,3446.7952196838087,5734.053200416813
Palestine,10.8,8.6,13.9,-4.6,-5.8,-3.4,0.15,0.13,0.17,0.08,0.07,0.09,71.5,70.3,72.8,76.2,75.2,77.2,73.8,72.6,74.9,19.5,17.5,21.6,0.2,0.2,0.2,1107.0789003831771,3734.3526722695956
Qatar,3.6,2.9,4.6,-5.2,-6.3,-4.2,0.09,0.07,0.11,0.05,0.04,0.06,76.1,74.2,77.9,79.2,77.6,80.7,77.2,75.4,78.9,5.1,4.2,6,0,0,0,791.8802742625548,968.8826077609945
Saudi Arabia,4.2,3.2,5.3,-8.2,-9.7,-6.8,0.19,0.16,0.23,0.14,0.11,0.17,71.8,69.9,73.6,75.1,72.9,77.2,73.1,71.1,75,155.8,129.4,187.1,0.3,0.3,0.4,15080.241563162803,12132.300486038896
Sudan,36.8,29.5,45,-5,-6.1,-4,0.22,0.17,0.27,0.16,0.13,0.2,66.3,63.1,69.3,70.1,67.2,72.7,68,64.9,70.8,245.6,199.6,300.1,3.4,3,4,36721.80463764287,47527.96562192941
Syria,10,8,12.4,-2.9,-3.9,-1.8,0.19,0.15,0.23,0.1,0.08,0.13,70.1,67.5,72.4,74.7,72.5,76.6,72.4,69.9,74.6,104.4,85.4,128.2,0.5,0.4,0.5,6881.7584342964665,16532.81984031881
Tunisia,10.3,8.4,12.5,-5.2,-6.2,-4.1,0.17,0.14,0.21,0.09,0.07,0.11,70.8,68.5,73.1,77.1,75.1,79,73.7,71.5,75.9,103.4,84.9,124,0.2,0.2,0.2,7875.800035399613,34463.56101042059
Türkiye,11.1,9.1,13.4,-6.3,-7.3,-5.3,0.14,0.12,0.17,0.07,0.06,0.08,72.3,70.7,74,78.3,77,79.5,75.2,73.7,76.7,654.3,565.5,743.7,1.2,1.1,1.4,111242.64342646503,144002.93937655212
United Arab Emirates,4.8,4.1,5.7,-4.2,-5.1,-3.5,0.09,0.07,0.1,0.06,0.05,0.07,77.5,75.7,79.6,71.5,70.8,72.3,75,73.6,76.6,20.1,15.9,23.7,0.1,0,0.1,-1816.2443961837407,4013.982783850139
Yemen,38.9,32,46.5,-4.1,-5.1,-3.2,0.29,0.24,0.35,0.18,0.14,0.23,62.4,59.4,65.2,68.5,65.5,70.9,65.3,62.2,67.9,216.5,180.7,262.7,4.2,3.8,4.6,18836.69310752296,36659.85279081109
South Asia,37.1,31.4,44.2,-3.6,-4.5,-2.7,0.23,0.21,0.25,0.15,0.14,0.17,66.4,65.4,67.4,70.8,69.8,71.8,68.5,67.6,69.3,14812.6,14034.6,15637.8,80.9,73.7,88.5,1605219.0196037614,2825198.0953576746
Bangladesh,28,22.5,34.6,-5.3,-6.4,-4.2,0.16,0.14,0.19,0.11,0.09,0.13,70.6,68.3,72.8,74.1,72,76.1,72.3,70,74.3,1095,929.2,1281.3,12.2,10.8,14,151624.29237741255,179741.85706443537
Bhutan,29.3,22.8,36.6,-5.2,-6.4,-3.9,0.13,0.1,0.16,0.1,0.08,0.13,72.7,70.2,75.2,74.9,72.6,77.3,73.7,71.3,76.2,4.4,3.7,5.2,0,0,0,0,135.90835172882078
India,33.1,26.9,40.8,-4,-5.2,-2.8,0.23,0.21,0.25,0.15,0.14,0.17,66.6,65.4,67.7,71.2,70.2,72.4,68.7,67.8,69.6,11743,11076.6,12477.4,40.4,35.7,45.9,1170018.748732075,2273135.342186957
Nepal,28.4,22,36.4,-5.1,-6.3,-3.8,0.24,0.21,0.27,0.15,0.13,0.18,66.1,64.1,67.8,70.8,68.8,72.4,68.4,66.4,70.1,252.4,223.6,289.7,1.5,1.3,1.7,29142.83019264371,61463.07315548132
Pakistan,56.3,46.2,68,-2.2,-3.2,-1.2,0.25,0.2,0.3,0.19,0.15,0.24,63.8,61.3,66.1,66.4,63.8,68.8,65,63.1,66.9,1717.7,1516.1,1937.5,26.8,22.9,30.8,254433.1483016299,310721.914599072
"Southeast Asia, east Asia, and Oceania",14.6,12.6,17,-5.1,-5.8,-4.4,0.15,0.13,0.17,0.08,0.07,0.09,72.5,70.9,74.1,78.6,77.2,80,75.4,74.1,76.6,17750.8,15853.6,19913.1,50.1,46.2,54.5,164950.75330040886,868760.2666232658
East Asia,7.3,6.2,8.6,-7.9,-8.9,-6.9,0.12,0.09,0.15,0.06,0.04,0.07,74.8,72.7,77,80.7,78.9,82.5,77.6,76,79.1,12130.4,10408.9,14005.6,21.9,19.5,24.7,54612.172265022906,12132.537284621822
China,7.2,6.1,8.6,-7.7,-8.5,-6.8,0.12,0.09,0.14,0.05,0.04,0.07,74.9,72.7,77.1,80.7,78.9,82.6,77.6,76,79.2,11702.4,9981.9,13565.5,21.5,19.1,24.2,59201.84078262223,11355.76172251337
North Korea,10.5,7.8,13.9,-10.9,-15.4,-7.3,0.2,0.16,0.25,0.12,0.09,0.15,70.1,67.8,72.5,76.2,73.6,78.5,73.3,70.7,75.7,242.4,202.4,287.7,0.3,0.3,0.5,1050.5556622443173,195.36933684724076
Taiwan (province of China),4.6,4.1,5.2,-2.7,-3.4,-2.1,0.12,0.12,0.12,0.05,0.05,0.05,78.1,77.9,78.2,84.6,84.4,84.8,81.3,81.1,81.4,184.1,182.4,185.9,0.1,0.1,0.1,-5640.2241798436435,581.4062252612096
Oceania,47.1,38.9,56.1,-1.2,-2.2,-0.2,0.29,0.24,0.35,0.21,0.18,0.26,62.5,59.4,65.6,66.6,64.2,69,64.4,61.6,67.1,107.8,89.4,130.6,1.3,1.1,1.5,1275.3371261290083,15593.38538893985
American Samoa,12.1,9.4,15.5,-0.9,-2.3,0.4,0.23,0.19,0.27,0.16,0.13,0.19,69.3,67,71.2,72.8,70.6,74.9,71,68.7,72.9,0.4,0.4,0.5,0,0,0,0,0
Cook Islands,5.4,5.4,5.5,-4.4,-5.4,-3.4,0.18,0.15,0.22,0.08,0.07,0.1,72.9,70.9,74.7,79.6,77.6,81.6,76.1,74.2,78,0.2,0.1,0.2,0,0,0,0,0
Fiji,19.3,14.6,25.2,-1.4,-2.9,0.3,0.31,0.23,0.38,0.21,0.16,0.26,63.8,60.4,67.4,68.8,65.8,71.9,66.1,62.9,69.6,9.4,7.2,12,0,0,0.1,103.01541917059595,1759.0748730136288
Guam,12,9.6,14.9,0.1,-1,1.3,0.21,0.19,0.23,0.11,0.1,0.12,73.5,71.7,75.5,82.9,81.2,84.7,77.9,76.2,79.8,1.2,1,1.3,0,0,0,123.12933418132455,218.15649593482522
Kiribati,36.4,29.6,44.7,-2.6,-3.6,-1.5,0.36,0.3,0.44,0.22,0.17,0.28,61.1,57.8,64,67,64.1,69.5,64.1,60.9,66.8,1,0.8,1.2,0,0,0,0,0
Marshall Islands,19.9,15.3,26.2,-3.1,-4.4,-1.7,0.34,0.28,0.41,0.26,0.21,0.33,63.4,59.8,66.5,66.8,63.5,69.6,65,61.5,68.1,0.4,0.4,0.6,0,0,0,0,0
Federated States of Micronesia,15.4,12.2,19.1,-4.1,-5.2,-2.9,0.32,0.26,0.4,0.21,0.16,0.27,64.5,61.1,67.5,69.7,66.6,72.4,67,63.6,69.9,0.8,0.7,1,0,0,0,0,0
Nauru,24.5,18.2,33,-3.1,-4.5,-1.6,0.43,0.37,0.51,0.28,0.22,0.34,59.2,55.8,62.4,65.7,62.3,68.7,62.3,58.8,65.4,0.1,0.1,0.1,0,0,0,0,0
Niue,51.1,51,52.5,2.8,1.8,3.7,0.23,0.19,0.29,0.15,0.12,0.18,65.1,62.9,66.8,69.2,67.6,71.1,67.1,65.1,69,0,0,0,0,0,0,0,0
Northern Mariana Islands,6.2,5,7.4,-0.7,-1.6,0.1,0.22,0.18,0.25,0.13,0.11,0.15,69.5,68.1,71.9,75,73.8,77.1,72,70.7,74.2,0.4,0.3,0.4,0,0,0,-14.972707853742966,44.612476936340464
Palau,16.9,13.9,20.8,-1.5,-2.7,-0.4,0.28,0.23,0.33,0.15,0.12,0.19,67.7,64.9,70.5,70.5,68.2,72.6,68.7,66.1,71.1,0.2,0.2,0.2,0,0,0,0,0
Papua New Guinea,52.7,43.5,62.8,-1.4,-2.5,-0.4,0.29,0.23,0.37,0.22,0.18,0.27,61.9,58.4,65.4,65.5,62.8,68.3,63.5,60.3,66.7,80.7,65.2,99.6,1.1,1,1.3,1064.1650806308307,13334.8447039983
Samoa,13,10.1,16.6,-2.4,-3.8,-0.9,0.22,0.18,0.27,0.17,0.14,0.21,69.6,67.2,71.5,71.9,69.5,74.2,70.7,68.3,72.8,1.4,1.2,1.6,0,0,0,0,0
Solomon Islands,19.5,15.6,24.2,-2.7,-3.9,-1.5,0.33,0.27,0.41,0.23,0.18,0.29,63.7,60.3,66.5,68.4,65.2,71.1,65.9,62.6,68.7,4.6,3.7,5.7,0,0,0,0,0
Tokelau,64,64,64,5.3,4.1,6.3,0.19,0.15,0.24,0.17,0.14,0.2,67.1,65.1,69,67.8,65.6,70,67.5,65.3,69.5,0,0,0,0,0,0,0,0
Tonga,11.7,9,14.9,-2.8,-4.2,-1.4,0.2,0.16,0.25,0.13,0.1,0.16,70.6,67.9,73.1,75.7,72.9,78.2,73.1,70.4,75.6,0.7,0.6,0.8,0,0,0,0,0
Tuvalu,17.3,13.2,22.5,-5.4,-6.8,-4,0.29,0.23,0.35,0.19,0.15,0.24,65.8,62.7,68.7,70.6,67.8,73.2,68,65.7,70.1,0.1,0.1,0.1,0,0,0,0,0
Vanuatu,20.7,16.3,26.6,-2.5,-3.8,-1.2,0.35,0.3,0.41,0.2,0.17,0.24,62.5,59.9,64.8,69.4,67.3,71.3,65.7,63.3,67.8,2.3,1.9,2.7,0,0,0,0,236.69683905675504
Southeast Asia,21.5,18.2,25.4,-3.9,-4.7,-3.1,0.22,0.19,0.25,0.12,0.11,0.14,67.9,66.1,69.7,74.3,72.7,75.8,71,69.4,72.5,5511.6,4867.6,6184.3,26.8,24.6,29.4,109063.24390925695,841034.3439497041
Cambodia,30.7,25.5,37.4,-5.3,-6.2,-4.3,0.25,0.2,0.31,0.15,0.12,0.19,65.2,62.3,68.2,71,68.2,73.6,68.2,65.3,71,129.2,104.3,156.4,0.9,0.8,1.1,0,13530.030066771233
Indonesia,24.1,19.5,29.5,-3.8,-4.9,-2.8,0.21,0.16,0.27,0.14,0.11,0.18,67.3,64.4,70.3,72,69.6,74.3,69.5,67.3,71.9,2198.9,1791.5,2625.2,10.3,8.9,11.6,133012.54089922708,364004.19325792935
Laos,40.2,31.3,50.3,-5.2,-6.4,-3.9,0.23,0.19,0.29,0.15,0.12,0.19,65.4,62.2,68.7,70.4,67.4,73.2,67.8,64.6,70.9,51,40.9,62.3,0.5,0.4,0.6,0,4820.988874047668
Malaysia,6.2,5.6,7,-1.8,-2.4,-1.2,0.2,0.19,0.22,0.11,0.11,0.12,70.4,69.5,71.1,75.7,75.2,76.2,72.9,72.1,73.4,224.5,214,239.6,0.5,0.5,0.6,-15206.77868717537,36917.454731651815
Maldives,12.5,10.1,15.6,-4.4,-5.6,-3.2,0.08,0.06,0.1,0.05,0.04,0.06,78.1,76.1,80,81.2,79.7,82.6,79.4,77.6,81.1,1.6,1.4,1.9,0,0,0,84.23572100939693,190.52179370282568
Mauritius,12.6,10.5,14.3,-1.5,-2.4,-0.7,0.21,0.19,0.22,0.11,0.1,0.12,70.1,69.1,71.6,76.9,76.1,78.1,73.4,72.5,74.8,13.2,11.9,14.3,0,0,0,-385.0643361067216,1500.6345409158926
Myanmar,39.2,31.7,49.3,-4.8,-5.9,-3.7,0.26,0.21,0.32,0.14,0.12,0.18,64.1,61.3,66.9,71.2,68.7,73.5,67.6,64.9,70.2,510.8,422.6,620.5,3.6,3.1,4,17402.170243668028,66192.47513326509
Philippines,21,17.3,25.3,-2.6,-3.7,-1.5,0.28,0.24,0.32,0.15,0.13,0.18,64.8,63,66.7,72.2,70.6,73.8,68.3,66.9,69.5,880.2,798.7,968.2,7.1,6.3,8,-17124.0348436066,228630.8812122933
Seychelles,13.3,10.8,16.4,-0,-1.1,1.1,0.2,0.18,0.21,0.11,0.09,0.12,70.8,69.9,71.7,76.5,75.5,77.4,73.4,72.5,74.3,0.9,0.8,0.9,0,0,0,-118.21377836378048,130.2383338031987
Sri Lanka,6,4.6,7.7,-4.9,-6.1,-3.6,0.16,0.11,0.21,0.07,0.04,0.09,73.4,69.6,78.1,79.7,76.8,83.1,76.6,73.2,80.5,158.4,109.5,208.6,0.3,0.3,0.4,-10212.964844517644,17491.846466754152
Thailand,7.4,6.5,8.3,-4.2,-5.1,-3.2,0.21,0.17,0.25,0.09,0.07,0.11,72.4,69.1,75.8,80.3,77.8,82.6,76.3,73.5,79.1,625.5,499.3,765.9,1.1,1,1.1,893.1427075774137,62078.098677402006
Timor-Leste,35.2,29,42.7,-4.1,-5.1,-3.1,0.21,0.17,0.26,0.16,0.12,0.19,66.9,64.2,69.6,70.5,68.2,72.8,68.6,66.1,71,9.5,7.9,11.4,0.1,0.1,0.1,0,1147.3367813666268
Viet Nam,11.1,8.7,14.3,-4.4,-5.6,-3.2,0.19,0.16,0.24,0.08,0.06,0.1,69.9,68,72,78.3,76.5,80.3,74,72.1,76.1,701.4,587.4,812.7,2.4,1.9,3,718.2108275451458,44399.64407980094
Sub-Saharan Africa,70.7,59.7,84,-3.5,-4.3,-2.7,0.34,0.32,0.37,0.24,0.22,0.26,58.7,56.8,60.3,64.1,62.4,65.5,61.3,59.5,62.7,9434.4,8624.4,10488.6,171.9,154.6,192.9,804930.6955506986,1600835.0696385948
Central sub-Saharan Africa,58.3,49.7,68.9,-4.6,-5.4,-3.8,0.37,0.33,0.41,0.25,0.22,0.29,58.4,56.1,60.5,63.8,61.5,66,61,58.7,63.1,1093.4,953.4,1254.6,19.3,17.1,22.1,93456.99927829936,173513.90236585727
Angola,54.7,45.7,65.1,-5.3,-6.3,-4.5,0.37,0.32,0.43,0.27,0.22,0.32,58.4,55.6,61.1,63.7,60.8,66.6,61,58.2,63.7,249.5,208.1,296.4,4.7,3.8,5.8,15284.080848140242,40497.960791275305
Central African Republic,109.7,89.2,135.8,-2.4,-3.4,-1.3,0.57,0.5,0.65,0.39,0.33,0.47,48.2,44.5,51.7,55.2,51.2,58.6,51.4,47.6,54.9,73.7,60.8,89.4,1.4,1.2,1.7,8863.728414665227,8782.253812571429
Congo (Brazzaville),39.2,32.4,47.3,-4.6,-5.7,-3.6,0.35,0.29,0.42,0.31,0.25,0.37,60.6,58.1,62.9,63.1,60.4,65.6,61.8,59.2,64.2,46.3,39.6,54.4,0.5,0.4,0.6,5036.2770419841245,7644.832051151036
DR Congo,57.8,48.3,71.4,-4.6,-5.5,-3.6,0.35,0.3,0.4,0.23,0.19,0.28,59,56.6,61.4,64.5,62.3,67,61.6,59.3,64.1,697.9,595.4,801.8,12.3,10.8,14.3,60815.927653909916,111871.49228003928
Equatorial Guinea,46.3,34.6,62.3,-4.6,-6,-3.1,0.37,0.3,0.45,0.29,0.22,0.38,59.3,55.3,62.9,63.7,58.9,67.7,61.5,57.2,65.3,10.5,8.2,13.6,0.2,0.1,0.3,1426.6019385756829,1713.8407700064638
Gabon,32.5,23.6,44.5,-3.7,-5.1,-2.1,0.35,0.29,0.41,0.23,0.19,0.29,60.9,57.8,63.6,67.3,64,70.2,63.9,60.6,66.7,15.5,12.9,18.7,0.1,0.1,0.2,2030.3833810241722,3003.522660813745
Eastern sub-Saharan Africa,57.9,47.4,71.6,-4,-5,-3,0.36,0.33,0.38,0.24,0.22,0.26,58.9,57.2,60.4,64.5,62.9,66,61.5,59.8,63,3333.9,3044.1,3696.5,56.7,50.3,64,281875.54333643394,661683.3541192885
Burundi,63.9,50,82,-4.3,-5.4,-3.1,0.32,0.27,0.36,0.22,0.19,0.26,60,57.7,62.3,64.9,62.6,67.2,62.2,59.9,64.4,97.4,84.8,111.8,2,1.7,2.3,4416.070737084993,10798.88298499535
Comoros,48,39,58.9,-3.7,-4.7,-2.6,0.24,0.2,0.28,0.18,0.14,0.22,64.8,62.5,66.9,68.2,65.8,70.2,66.5,64.2,68.5,5.9,5.1,6.8,0.1,0.1,0.1,341.46420567046755,954.830019399713
Djibouti,37.2,30.1,45.6,-4.1,-5.1,-3,0.31,0.26,0.38,0.23,0.18,0.29,62.3,59,65.1,67,63.4,70,64.3,60.9,67.2,9.3,7.5,11.6,0.1,0.1,0.1,1408.1594149451416,1866.853714295153
Eritrea,45.5,34.4,60.3,-3.5,-4.9,-2.2,0.38,0.32,0.46,0.25,0.2,0.31,58.7,55.2,61.7,64.8,61.5,67.8,61.7,58.3,64.7,50.8,41.6,62.3,0.7,0.6,0.9,906.3829836082531,6521.741803413058
Ethiopia,52.2,41.8,65.1,-4.8,-5.8,-3.7,0.28,0.25,0.32,0.19,0.17,0.22,62,60.3,63.7,67.5,65.7,69.2,64.5,63.1,65.8,736.6,677.5,804.8,12.9,11.1,15,72179.19275217615,156884.14340226992
Kenya,36.6,29.7,44.7,-4,-5.1,-3,0.35,0.31,0.39,0.22,0.2,0.26,61,59.4,62.6,67.2,65.2,68.9,63.9,62.5,65.2,357.2,325.9,389.9,4.1,3.6,4.6,56325.54573394294,86163.16523856299
Madagascar,57.6,46.2,72.4,-3.1,-4.2,-2,0.31,0.27,0.37,0.25,0.2,0.3,60.5,58.2,63,63.9,61.7,66.2,62.1,59.9,64.5,206.2,176.9,236.9,3.7,3.2,4.3,23954.623710978067,33307.18906066138
