lancet_label,val.u5mort,lower.u5mort,upper.u5mort,val.u5mortROC,lower.u5mortROC,upper.u5mortROC,val.m45q15,lower.m45q15,upper.m45q15,val.f45q15,lower.f45q15,upper.f45q15,val.lexm,lower.lexm,upper.lexm,val.lexf,lower.lexf,upper.lexf,val.lexboth,lower.lexboth,upper.lexboth,val.deaths,lower.deaths,upper.deaths,val.u5deaths,lower.u5deaths,upper.u5deaths,2020.excess_deaths,2021.excess_deaths
Serbia,4.7,4.2,5.2,-5.4,-6.3,-4.6,0.16,0.16,0.16,0.08,0.08,0.09,71.7,71.5,71.8,76.7,76.5,76.9,74.1,74,74.3,149.1,147.2,151.1,0,0,0,15437.178621322886,26376.47740208436
Slovakia,5.8,5.1,6.4,-2.6,-3.2,-2,0.17,0.17,0.18,0.08,0.08,0.08,71.3,71,71.5,78.3,78.1,78.6,74.7,74.6,74.9,72.6,71.5,73.6,0,0,0,4869.314845337097,18052.740637160783
Slovenia,2.2,2,2.5,-4.2,-4.8,-3.6,0.1,0.09,0.1,0.04,0.04,0.04,77.6,77.2,78.1,84,83.4,84.6,80.8,80.4,81.3,23,22,23.9,0,0,0,2931.9170523781745,1780.536633332605
Eastern Europe,6.1,5.6,6.5,-5.2,-5.6,-4.8,0.3,0.28,0.32,0.13,0.12,0.14,65.8,65,66.6,74.9,74.2,75.5,70.4,69.8,70.9,3470.6,3335.3,3611.7,2.1,2,2.1,435783.4189975969,899238.1416743678
Belarus,4,3.1,5.3,-6.9,-8.2,-5.5,0.29,0.25,0.33,0.11,0.1,0.13,66,64.2,67.8,76,74.4,77.5,71,69.2,72.7,161.7,140.6,185.9,0.1,0.1,0.1,22605.533688138272,41711.83987004515
Estonia,2.5,2.2,2.9,-7.1,-7.8,-6.4,0.17,0.17,0.18,0.07,0.06,0.07,72.4,71.9,72.9,81.2,80.6,81.8,76.9,76.5,77.3,18.6,18,19.2,0,0,0,322.3734648073012,3310.806642645552
Latvia,3.7,3.2,4.3,-6.1,-6.9,-5.4,0.26,0.25,0.27,0.1,0.09,0.1,68.3,67.9,68.7,78.1,77.7,78.5,73.2,73,73.5,34.2,33.4,35,0,0,0,1265.3645705877611,7151.579195871163
Lithuania,3.5,3.1,3.9,-5.3,-5.9,-4.7,0.24,0.23,0.24,0.09,0.09,0.1,69.2,68.8,69.5,78.9,78.5,79.3,74.1,73.8,74.4,47.2,46.2,48.2,0,0,0,5336.968114743017,9559.532333822726
Moldova,10.9,8.2,14.4,-4.4,-5.7,-3,0.25,0.23,0.27,0.11,0.1,0.12,67.9,66.7,69,76.4,75.4,77.3,72.1,71,73.2,50.1,47,53.6,0,0,0,5244.353579038174,10342.376647468109
Russia,5.8,5.5,6.2,-5.6,-5.9,-5.2,0.31,0.31,0.31,0.14,0.14,0.14,65.5,65.5,65.6,74.3,74.3,74.4,70,69.9,70,2413.6,2407.7,2418.5,1.5,1.5,1.5,357233.1453921884,690281.7973262889
Ukraine,7.8,6.2,9.2,-3.3,-4.3,-2.4,0.29,0.22,0.37,0.11,0.08,0.15,66.3,62.7,70.1,75.7,72.7,78.6,71,68.5,73.6,745.3,613.7,880.5,0.4,0.4,0.4,43775.68018809396,136880.2096582263
High income,4.6,4.2,5,-2.4,-2.8,-2,0.11,0.11,0.11,0.06,0.06,0.06,77.9,77.8,78,83.3,83.3,83.4,80.6,80.5,80.7,10882.9,10836.7,10931,5.2,5.1,5.4,970932.2262204203,947345.6277392213
Australasia,3.3,2.8,3.8,-3.3,-4,-2.5,0.08,0.08,0.08,0.04,0.04,0.04,81.2,81.1,81.2,85.3,85.3,85.4,83.2,83.2,83.3,209.7,208.8,210.5,0.1,0.1,0.1,-5328.203348057433,3626.007185638041
Australia,3,2.5,3.6,-3.6,-4.4,-2.7,0.08,0.08,0.08,0.04,0.04,0.04,81.2,81.1,81.3,85.6,85.5,85.7,83.4,83.3,83.5,175.2,174.4,175.8,0.1,0.1,0.1,-3356.509895547468,3775.345808702648
