lancet_label,val.pop_22_2000,lower.pop_22_2000,upper.pop_22_2000,val.pop_22_2021,lower.pop_22_2021,upper.pop_22_2021,val.pop_39_2000,lower.pop_39_2000,upper.pop_39_2000,val.pop_39_2021,lower.pop_39_2021,upper.pop_39_2021,val.pop_200_2000,lower.pop_200_2000,upper.pop_200_2000,val.pop_200_2021,lower.pop_200_2021,upper.pop_200_2021,val.pop_154_2000,lower.pop_154_2000,upper.pop_154_2000,val.pop_154_2021,lower.pop_154_2021,upper.pop_154_2021,val.popROC,lower.popROC,upper.popROC,pop_ratio
Lebanon,3561.5,3197.9,3966,5540.4,4673.6,6393.8,1114.8,1001,1241.4,1278.1,1078.1,1474.9,2173.9,1952,2420.9,3716.3,3134.9,4288.7,272.7,244.9,303.7,546,460.6,630.1,2.1,1.8,2.3,0.43
Libya,5093,4592.1,5598.3,6870.6,5809.4,7976.9,1792.6,1616.3,1970.4,1491.6,1261.2,1731.8,3101.1,2796.1,3408.8,5029.4,4252.6,5839.3,199.3,179.7,219.1,349.5,295.5,405.8,1.4,1.1,1.7,0.23
Morocco,29718.4,26802.8,32629.7,37176.6,33141.8,41310.4,10245.1,9240,11248.7,9791.9,8729.1,10880.6,17998.3,16232.5,19761.4,24647.6,21972.6,27388.2,1475.1,1330.3,1619.6,2737.2,2440.1,3041.5,1.1,1,1.1,0.28
Palestine,3019.9,2753,3294.6,5135.6,4663.3,5613.3,1407.4,1283,1535.5,1867.2,1695.5,2040.9,1520.5,1386.1,1658.8,3092.7,2808.3,3380.4,92,83.8,100.3,175.7,159.6,192.1,2.5,2.5,2.6,0.09
Oman,2328.5,2120.2,2529.5,4703.8,4353.8,5060.9,879.9,801.2,955.9,1223,1132,1315.9,1395.4,1270.6,1515.9,3365.5,3115.1,3621.1,53.2,48.4,57.7,115.2,106.6,123.9,3.3,3.3,3.4,0.09
Qatar,592.3,538.1,643.3,2977.1,2745.8,3202.3,159.3,144.7,173,493.9,455.5,531.3,425.2,386.3,461.8,2446.1,2256.1,2631.2,7.9,7.2,8.6,37.1,34.2,39.9,7.7,7.6,7.8,0.08
Saudi Arabia,20763.8,18764,22784.5,37704.2,32634.6,43017,7484.8,6763.9,8213.2,7565.3,6548.1,8631.3,12732.4,11506.1,13971.5,29117.1,25202.1,33219.9,546.6,493.9,599.8,1021.8,884.4,1165.8,2.8,2.6,3,0.14
Syria,16728.8,15088.2,18211.1,14030.4,11466.3,16227.7,6939.6,6259,7554.4,3663.3,2993.8,4237,9270.2,8361,10091.6,9353,7643.7,10817.7,519.1,468.2,565.1,1014.1,828.8,1172.9,-0.9,-1.3,-0.5,0.28
Tunisia,9841.4,8931.5,10751.3,11842.6,10595,13166,2983.6,2707.7,3259.5,2765.7,2474.4,3074.8,6250.9,5673,6828.9,7946.7,7109.5,8834.7,606.8,550.7,662.9,1130.2,1011.1,1256.5,0.9,0.8,1,0.41
Türkiye,67053.7,58220.6,75645.4,83612,77066,89962.3,20059.9,17417.4,22630.2,18520.4,17070.5,19927,43053.5,37382,48570.1,56922,52465.5,61245.1,3940.2,3421.2,4445.1,8169.7,7530.1,8790.1,1.1,0.8,1.3,0.44
United Arab Emirates,3227,2900.3,3548.1,9631.2,7899.6,11218.5,719.9,647,791.6,1338.8,1098.1,1559.5,2478.5,2227.6,2725.2,8129.4,6667.9,9469.3,28.5,25.6,31.4,162.9,133.6,189.8,5.2,4.8,5.5,0.12
Yemen,18622.6,17012.9,20210.9,33643.5,28178.5,39518.8,8967.3,8192.2,9732.1,13788.5,11548.8,16196.5,9164.9,8372.7,9946.6,18839.7,15779.4,22129.8,490.4,448,532.2,1015.2,850.3,1192.5,2.8,2.4,3.2,0.07
South Asia,1325085.6,1245383.8,1402974.8,1846571.4,1668044.6,2038669.3,486543.2,457918.3,514359.8,507021.5,460106.9,556694.1,781126.5,733680.5,827943.8,1219950.8,1100246.2,1348047.2,57415.8,53789.7,60907.6,119599.1,107533.7,132763.1,1.6,1.4,1.8,0.24
Afghanistan,15935.8,12762.9,18947.2,31222.2,21632,40881.8,7834.5,6274.7,9315.1,14200.6,9838.8,18594,7497.3,6004.6,8914.1,16398.4,11361.5,21471.8,603.9,483.7,718.1,623.2,431.8,816,3.2,2.5,3.6,0.04
Bangladesh,129406.2,119818.8,138805.3,164636.1,142940.1,185759.7,52324.6,48448,56125.1,45766,39734.9,51638,72775.9,67384.1,78061.8,107272.7,93136.2,121036.3,4305.7,3986.7,4618.5,11597.4,10069.1,13085.4,1.1,0.8,1.4,0.25
Bhutan,645.3,581.7,711.8,756.9,685.1,823,238.1,214.6,262.6,187.2,169.4,203.5,382,344.3,421.3,519.6,470.3,565,25.2,22.7,27.8,50.1,45.3,54.5,0.8,0.7,0.8,0.27
India,1032537,952914.7,1109615.8,1414495,1240240.7,1601508.4,365858.6,337646.1,393169.9,366399.1,321261.7,414841.5,619637.2,571854.9,665893,950604.9,833498.1,1076286.4,47041.2,43413.7,50552.8,97491,85480.9,110380.5,1.5,1.3,1.7,0.27
Nepal,23923.7,22224.8,25546.9,31129.8,27339.6,35331.1,9771.7,9077.8,10434.7,9227.2,8103.8,10472.5,13247.6,12306.9,14146.5,19988,17554.4,22685.6,904.3,840.1,965.7,1914.6,1681.5,2173,1.2,1,1.5,0.21
Pakistan,138573.4,127497.3,149807.9,235553.6,215431.8,256773.2,58350.1,53686.2,63080.7,85442.1,78143.3,93139,75083.9,69082.5,81171.1,141565.6,129472.5,154318.3,5139.4,4728.6,5556.1,8546,7815.9,9315.8,2.5,2.5,2.6,0.1
Sub-Saharan Africa,646528.5,628541,665654.8,1133157.9,1087675.9,1180535.6,288772.9,280572.3,297294.8,475942.7,456878.9,495949.6,338184,328751.1,348238,623723.7,598602.3,649795,19571.6,19008.6,20147.8,33491.5,32220.7,34821.6,2.7,2.6,2.7,0.07
Central sub-Saharan Africa,73559.2,65302.3,81307.5,136928.3,110308.1,165520.3,33639.6,29823.6,37207.7,58681.6,47365.9,70579.2,37897.6,33687.4,41846.2,74755.8,60110,90521.1,2022.1,1784.5,2247,3490.9,2800.7,4230.5,2.9,2.5,3.4,0.06
Angola,14723.8,12613.4,16899.6,32706.5,29055.3,36449,6840.6,5860.1,7851.4,15245.5,13543.6,16990,7560.3,6476.7,8677.6,16719.9,14853.4,18633.1,322.9,276.6,370.6,741.1,658.4,825.9,3.8,3.7,4,0.05
Central African Republic,3617.3,3322.5,3937.2,5484.1,4506.5,6406.6,1616.8,1485.1,1759.8,2283.8,1876.7,2668,1915,1759,2084.4,3075.1,2526.9,3592.4,85.4,78.5,93,125.2,102.9,146.3,2,1.5,2.3,0.05
Congo (Brazzaville),3154.6,2794.8,3454.7,5391.6,4588.8,6239.9,1280.6,1134.6,1402.5,1929.3,1642,2232.8,1775.9,1573.3,1944.8,3289.8,2799.9,3807.4,98.1,86.9,107.4,172.5,146.8,199.7,2.5,2.3,2.8,0.09
DR Congo,50182.8,41938.6,58092.8,90017.8,62962.6,117854.1,23093.4,19299.5,26733.4,37998.9,26578.2,49749.4,25643.2,21430.5,29685.2,49675.1,34745.1,65036.2,1446.2,1208.6,1674.2,2343.7,1639.3,3068.5,2.7,1.9,3.4,0.06
Equatorial Guinea,653.9,544.5,758.4,1512.3,1362.7,1676,309.4,257.7,358.9,585,527.1,648.3,328.1,273.2,380.6,893.7,805.2,990.4,16.3,13.6,18.9,33.6,30.3,37.3,4,3.8,4.3,0.06
Gabon,1226.9,1086.3,1369,1816.1,1607.2,2015.2,498.7,441.6,556.5,639.1,565.6,709.2,675,597.7,753.2,1102.2,975.4,1223.1,53.2,47.1,59.4,74.7,66.1,82.9,1.9,1.8,1.9,0.12
Eastern sub-Saharan Africa,249820.3,241616.1,258730.9,426097.8,406099.1,446709.7,116685.1,112801.7,120842.7,178431.5,169972.7,187026.8,126600.1,122424.3,131038,235825.7,224961.9,247365.8,6535.1,6320.7,6762.5,11840.5,11271.4,12423.9,2.5,2.5,2.6,0.07
Burundi,6390.4,5606.7,7127.9,13220.3,11338.6,15001.2,3044.9,2671.4,3396.2,5854.2,5020.9,6642.8,3164.1,2776,3529.2,7040.7,6038.5,7989.2,181.5,159.3,202.5,325.5,279.1,369.3,3.5,3.4,3.5,0.06
Comoros,552.8,505.3,601.5,744.4,611.5,881.8,232.8,212.8,253.3,240.2,197.3,284.5,300.5,274.7,326.9,467.2,383.8,553.5,19.5,17.8,21.2,37,30.4,43.8,1.4,0.9,1.8,0.15
Djibouti,619.3,546,696.4,1258.7,1082.1,1448.4,238.2,210.1,267.9,413.2,355.2,475.5,368,324.5,413.8,805.8,692.7,927.2,13,11.5,14.7,39.8,34.2,45.8,3.4,3.3,3.5,0.1
Eritrea,3982.4,3366.8,4647,6597.9,4577.5,8754.2,1777.5,1502.8,2074.2,2524.6,1751.5,3349.7,2125.1,1796.6,2479.8,3904,2708.5,5179.8,79.7,67.4,93,169.3,117.5,224.7,2.4,1.5,3,0.07
Ethiopia,68418.5,61770.8,75429,108938,91826.9,125474,32517.7,29358.2,35849.6,44350.4,37384.2,51082.5,34189.3,30867.4,37692.5,61363.6,51725.1,70678.2,1711.6,1545.3,1887,3224,2717.6,3713.3,2.2,1.9,2.4,0.07
Kenya,31115,28770.1,33381.3,50062.4,46231.3,54034,13982.7,12928.9,15001.1,18665.2,17236.8,20146,16301.3,15072.7,17488.6,29742.4,27466.3,32101.9,831.1,768.5,891.6,1654.8,1528.1,1786.1,2.3,2.2,2.3,0.09
Madagascar,15852.9,14254.7,17520,28557.4,26054.2,30955.6,7267.3,6534.7,8031.6,11733.5,10705,12718.9,8180,7355.3,9040.2,16136.7,14722.2,17491.8,405.6,364.7,448.3,687.2,627,745,2.8,2.7,2.9,0.06
Malawi,11097.8,10183.6,11942.8,19447.8,17851.5,21031.4,5083.6,4664.8,5470.7,8123.9,7457,8785.4,5685.4,5217,6118.3,10785.3,9900,11663.6,328.8,301.7,353.8,538.6,494.4,582.5,2.7,2.7,2.7,0.07
Mauritius,1214.4,1129.8,1301.9,1272,1101.5,1438.8,311.7,289.9,334.1,207.4,179.6,234.6,827.1,769.4,886.7,900.1,779.4,1018.1,75.7,70.4,81.1,164.5,142.5,186.1,0.2,-0.1,0.5,0.79
Mozambique,17557.5,16002.5,19124.1,31072.7,28241,33939.7,8080.5,7364.8,8801.5,14266,12965.9,15582.3,8971.2,8176.7,9771.7,16039.5,14577.8,17519.5,505.8,461,550.9,767.1,697.2,837.9,2.7,2.7,2.7,0.05
Rwanda,8110.8,7417.8,8780.9,13270,11517.1,14948.5,3738.6,3419.2,4047.5,4970.4,4313.8,5599.1,4175.2,3818.4,4520.1,7848.4,6811.6,8841.1,197,180.2,213.3,451.2,391.6,508.3,2.3,2.1,2.5,0.09
Seychelles,81.6,74.6,88,105.4,91.4,120.7,22.3,20.4,24.1,23.4,20.3,26.8,53.2,48.6,57.4,73,63.2,83.5,6,5.5,6.5,9.1,7.9,10.4,1.2,0.9,1.5,0.39
Somalia,10159.9,8648.2,11701.6,21606.5,15578.7,27029.6,4783.9,4072.1,5509.8,10329.4,7447.7,12922,5206.5,4431.8,5996.6,10890.6,7852.3,13624.1,169.5,144.3,195.2,386.5,278.6,483.5,3.6,2.8,4,0.04
Tanzania,34303,31481.1,37137.9,58447.9,51503.7,65494.3,15565.1,14284.7,16851.4,24402.9,21503.6,27344.9,17665,16211.9,19124.9,32205.9,28379.5,36088.6,1072.8,984.6,1161.5,1839.1,1620.6,2060.8,2.5,2.3,2.7,0.08
Uganda,24260,22162.2,26278.3,43315.1,38655.5,48316.1,12244,11185.2,13262.6,19835.7,17701.9,22125.9,11450.6,10460.5,12403.2,22465.6,20048.9,25059.4,565.4,516.5,612.5,1013.7,904.7,1130.8,2.8,2.6,2.9,0.05
Zambia,9926.9,9217.3,10622.6,19515.3,16772,22270.7,4732.5,4394.2,5064.1,8271.6,7108.8,9439.5,4947.9,4594.2,5294.6,10789.1,9272.4,12312.4,246.5,228.9,263.8,454.6,390.7,518.8,3.2,2.9,3.5,0.05
Southern sub-Saharan Africa,63664.7,60002.4,67286.7,80303.8,72893.2,88169.1,22552,21347.1,23759.3,24065.9,22024.7,26245.5,38319.5,36074.1,40556.3,51748.4,46872,56907.7,2793.2,2622.2,2962.3,4489.6,4025.2,4974.6,1.1,0.9,1.3,0.19
Botswana,1695,1577.9,1817.5,2393.3,2078.7,2710,658.1,612.6,705.7,698.3,606.5,790.7,978.2,910.6,1048.9,1590.4,1381.4,1800.9,58.7,54.6,62.9,104.6,90.8,118.4,1.6,1.3,1.9,0.15
Lesotho,1735.5,1574.9,1909.4,1874.4,1684,2067.4,680.3,617.4,748.5,630.5,566.4,695.4,975.5,885.3,1073.3,1160,1042.2,1279.4,79.7,72.3,87.7,83.9,75.4,92.5,0.4,0.3,0.4,0.13
Namibia,1834.5,1704.4,1961.3,2431.2,2093.3,2728.2,748,694.9,799.7,825.4,710.7,926.3,1020.7,948.3,1091.3,1504.5,1295.4,1688.3,65.8,61.1,70.4,101.3,87.2,113.6,1.3,1,1.6,0.12
South Africa,45397.3,41798.2,48781.1,56854.4,49726.9,64282.7,14958.6,13772.7,16073.6,15205.2,13299,17191.8,28264.7,26023.9,30371.5,37983.6,33221.8,42946.4,2173.9,2001.6,2336,3665.6,3206.1,4144.5,1.1,0.8,1.3,0.24
Eswatini,1017.3,927.4,1108.2,1155.2,1029.5,1261.6,445,405.7,484.7,412.6,367.7,450.6,546.5,498.2,595.3,702.6,626.1,767.3,25.8,23.5,28.1,40,35.7,43.7,0.6,0.5,0.6,0.1
Zimbabwe,11985.2,11064,12884.3,15595.4,13802.2,17465.4,5062,4672.9,5441.8,6293.8,5570.2,7048.5,6533.9,6031.7,7024,8807.4,7794.7,9863.4,389.3,359.4,418.5,494.2,437.3,553.4,1.2,1.1,1.4,0.08
Western sub-Saharan Africa,259484.3,245991.7,272508.5,489828,462150.4,517875.8,115896.3,110024.3,121606.4,214763.7,202680.1,227079,135366.8,128196.6,142304.1,261393.8,246506.4,276451,8221.2,7792.8,8638.2,13670.5,12924.7,14442.2,3,3,3.1,0.06
Benin,6717.2,6166.4,7264.3,13499.2,11844.1,15141.8,3253.2,2986.4,3518.2,6080.4,5334.9,6820.3,3263.1,2995.5,3528.9,7048.6,6184.4,7906.2,200.9,184.4,217.2,370.2,324.8,415.3,3.3,3.1,3.5,0.06
Burkina Faso,12424.5,11259.6,13669.1,22761.1,20947.8,24635.6,6049.4,5482.2,6655.3,10372.2,9545.8,11226.4,5966.5,5407,6564.1,11698.7,10766.7,12662.1,408.7,370.4,449.6,690.3,635.3,747.2,2.9,2.8,3,0.07
Cameroon,15051.4,13584.3,16614.6,31779.6,26654.5,37155.1,6820.9,6156,7529.3,13466.9,11295.1,15744.8,7777.7,7019.6,8585.5,17450.7,14636.4,20402.4,452.8,408.7,499.8,862.1,723,1007.9,3.5,3.2,3.8,0.06
Cabo Verde,450.6,420.5,482.1,559.3,487.3,634.1,188.1,175.5,201.3,143.2,124.8,162.4,235.6,219.8,252.1,382.4,333.2,433.5,26.9,25.1,28.8,33.7,29.4,38.2,1,0.7,1.3,0.24
Chad,8285.6,7354.7,9215.7,17749.4,15191.5,20275,4128.4,3664.6,4591.8,9014.9,7715.7,10297.7,3888.6,3451.7,4325.1,8325.9,7126,9510.6,268.6,238.4,298.8,408.6,349.7,466.8,3.6,3.5,3.8,0.05
Côte d'Ivoire,16948.8,15674.2,18244.1,27861.9,24857.1,31146.6,7288.5,6740.4,7845.5,11571.8,10323.8,12936,9270.4,8573.3,9978.9,15562.2,13883.8,17396.8,389.9,360.5,419.7,727.9,649.4,813.7,2.4,2.2,2.5,0.06
The Gambia,1351.1,1241.1,1459.6,2394.2,2109.4,2684.6,604.5,555.2,653,993.4,875.3,1114,706,648.5,762.7,1328.6,1170.5,1489.8,40.6,37.3,43.9,72.1,63.5,80.9,2.7,2.5,2.9,0.07
Ghana,19141.3,17826.3,20369.7,34245.9,29711,38853.9,8012.1,7461.7,8526.3,12883.1,11177.1,14616.6,10487,9766.6,11160,20161.1,17491.4,22873.9,642.2,598,683.4,1201.7,1042.6,1363.4,2.8,2.4,3.1,0.09
Guinea,8096.3,7384.1,8798.7,13429.8,11962,14955,3749.6,3419.8,4074.9,6045.8,5385,6732.4,3965.2,3616.4,4309.1,6958.6,6198.1,7748.9,381.5,348,414.6,425.4,378.9,473.7,2.4,2.3,2.5,0.07
Guinea-Bissau,1245.4,1082.8,1407.6,2063.9,1780.3,2338.9,579.5,503.9,655,898.1,774.7,1017.8,634.6,551.7,717.3,1119.4,965.6,1268.5,31.2,27.2,35.3,46.4,40,52.6,2.4,2.4,2.5,0.05
Liberia,2848,2521.5,3178.1,5459.5,4606.6,6313,1259.6,1115.2,1405.6,2185.9,1844.4,2527.7,1483,1312.9,1654.8,3135.2,2645.4,3625.4,105.4,93.3,117.6,138.3,116.7,159.9,3.1,2.9,3.3,0.06
Mali,11063.1,10173.2,11978.9,24104.1,20612.8,27474.1,5277.1,4852.6,5714,11575.8,9899.1,13194.2,5447.9,5009.7,5898.9,11895.3,10172.4,13558.4,338.1,310.9,366.1,633,541.3,721.5,3.7,3.4,4,0.05
Mauritania,2614.3,2438.2,2793.2,4396.2,3881.6,4929.4,1154.6,1076.8,1233.6,1853,1636.1,2077.7,1360.3,1268.7,1453.4,2374.5,2096.6,2662.5,99.4,92.7,106.2,168.7,148.9,189.1,2.5,2.2,2.7,0.09
Niger,11273.1,10416.6,12121.7,25038.2,21889.1,28030.9,5556.7,5134.5,5975,12764,11158.6,14289.6,5468.5,5053,5880.1,11701.7,10229.9,13100.3,247.9,229.1,266.6,572.5,500.5,641,3.8,3.5,4,0.04
Nigeria,122613.7,110240.5,135425.1,231165.7,205604.1,257993.8,53358.8,47974.3,58934.1,101589.1,90355.7,113379.1,65307.1,58716.7,72130.7,123377.3,109734.6,137696,3947.8,3549.5,4360.3,6199.3,5513.8,6918.8,3,3,3.1,0.06
São Tomé and Príncipe,143.6,132.9,154.5,216.6,191,243,64.5,59.7,69.4,77.8,68.6,87.3,73.1,67.7,78.7,131,115.6,147,6,5.6,6.5,7.8,6.8,8.7,2,1.7,2.2,0.1
Senegal,9931.4,9183.7,10675.2,15859.6,14008.8,17615.6,4387.9,4057.5,4716.5,6360.6,5618.3,7064.8,5206.5,4814.6,5596.5,8916.3,7875.8,9903.6,337,311.6,362.2,582.7,514.7,647.2,2.2,2,2.4,0.09
Sierra Leone,4424.4,4008,4806.9,8867.3,7944,9808.4,1985,1798.2,2156.6,3576.2,3203.8,3955.8,2257.9,2045.4,2453,5014.9,4492.8,5547.2,181.6,164.5,197.3,276.1,247.4,305.4,3.3,3.3,3.4,0.08
Togo,4854.3,4272.3,5471,8370.9,7164.9,9504.2,2175.2,1914.4,2451.5,3309,2832.3,3757,2564.8,2257.3,2890.6,4808.4,4115.6,5459.4,114.3,100.6,128.8,253.5,217,287.8,2.6,2.5,2.6,0.08
American Samoa,58.5,54.6,62.6,49.8,45.8,53.2,22.1,20.6,23.6,14.2,13.1,15.2,34.2,31.9,36.6,31.9,29.4,34.1,2.2,2.1,2.4,3.7,3.4,3.9,-0.8,-0.8,-0.7,0.26
Bermuda,63.3,59.3,67.3,63.5,57.4,69.9,12.1,11.3,12.8,8.4,7.6,9.3,44.5,41.6,47.3,42,37.9,46.2,6.8,6.4,7.2,13.1,11.9,14.5,0,-0.2,0.2,1.56
Cook Islands,18.6,17.1,20,17.7,16,19.4,5.5,5.1,5.9,3.8,3.4,4.1,11.8,10.9,12.7,11.6,10.5,12.7,1.3,1.2,1.4,2.3,2.1,2.5,-0.2,-0.3,-0.1,0.61
Greenland,56.1,55.8,56.5,56.1,50.7,61.1,15.2,15.1,15.3,11.8,10.6,12.8,38.1,37.8,38.3,39.1,35.3,42.6,2.8,2.8,2.8,5.3,4.8,5.8,-0,-0.5,0.4,0.45
Guam,159.4,148.9,169.8,159.2,146.5,171.2,49.5,46.2,52.7,36.6,33.7,39.3,101.4,94.7,108,103.5,95.3,111.3,8.5,8,9.1,19.1,17.6,20.6,-0,-0.1,0,0.52
Monaco,33,30.8,35.4,37.9,34.3,41.4,4.3,4,4.7,5,4.5,5.4,20.9,19.5,22.4,23.2,21,25.4,7.8,7.2,8.3,9.7,8.8,10.6,0.7,0.5,0.8,1.94
Nauru,10.8,9.9,11.6,11,9.6,12.4,4.2,3.8,4.5,4,3.5,4.5,6.3,5.8,6.8,6.6,5.8,7.5,0.3,0.3,0.4,0.4,0.3,0.5,0.1,-0.1,0.3,0.1
Niue,1.9,1.8,2.1,1.7,1.5,1.9,0.6,0.5,0.6,0.4,0.3,0.4,1.2,1.1,1.3,1.1,1,1.2,0.2,0.2,0.2,0.2,0.2,0.2,-0.7,-0.9,-0.4,0.5
Northern Mariana Islands,72.7,67.7,77.5,48.5,45.1,52.1,17.9,16.7,19.1,11.3,10.5,12.1,53.5,49.9,57.1,33.6,31.3,36.2,1.3,1.2,1.3,3.6,3.3,3.9,-1.9,-2,-1.9,0.32
Palau,19.7,18.4,21.1,18.1,16.2,20.1,4.9,4.6,5.2,3.3,2.9,3.6,13.9,13,14.9,13.2,11.8,14.6,1,0.9,1,1.7,1.5,1.8,-0.4,-0.6,-0.2,0.52
Puerto Rico,3879.6,3616.1,4128.5,3294.3,3047.9,3534.6,925.3,862.4,984.6,444.4,411.1,476.8,2526.8,2355.2,2688.9,2124.8,1965.9,2279.8,427.5,398.4,454.9,725.1,670.9,778,-0.8,-0.8,-0.7,1.63
Saint Kitts and Nevis,46.4,42.9,50,58.6,48.5,69.6,13.7,12.6,14.7,9.8,8.1,11.7,29.2,27,31.4,43.4,35.9,51.5,3.6,3.3,3.8,5.4,4.4,6.4,1.1,0.6,1.6,0.55
San Marino,27.5,23.9,31,32.7,28.4,37.4,4.3,3.7,4.8,4.4,3.8,5,18.6,16.2,21,21.3,18.4,24.3,4.6,4,5.2,7.1,6.1,8.1,0.8,0.8,0.9,1.61
Tokelau,1.5,1.4,1.7,1.4,1.2,1.5,0.5,0.5,0.6,0.4,0.4,0.4,0.9,0.8,0.9,0.8,0.8,0.9,0.1,0.1,0.1,0.1,0.1,0.2,-0.6,-0.7,-0.5,0.25
Tuvalu,9.7,8.9,10.5,12.4,10.8,14,3.4,3.1,3.7,3.7,3.3,4.2,5.7,5.2,6.2,7.8,6.8,8.8,0.6,0.6,0.7,0.9,0.8,1,1.1,0.9,1.3,0.24
Virgin Islands,111.4,104.3,119,85.9,79.8,91.9,29.7,27.8,31.7,13.4,12.4,14.3,72.5,67.9,77.5,53.9,50,57.6,9.1,8.6,9.8,18.6,17.3,19.9,-1.2,-1.3,-1.2,1.39
Northern Ireland,1702.8,1573.2,1843.1,1930.1,1795.9,2061.6,384.1,354.8,415.7,371.5,345.7,396.8,1099.6,1016,1190.2,1230.9,1145.3,1314.8,219.1,202.4,237.1,327.6,304.9,350,0.6,0.6,0.6,0.88
Scotland,5138.3,4758,5514.3,5515.8,4792.6,6278.4,939.3,869.8,1008.1,843.1,732.5,959.6,3397.1,3145.6,3645.6,3587.2,3116.8,4083.1,801.9,742.6,860.6,1085.6,943.2,1235.6,0.3,0,0.6,1.29
South Sudan,7266.2,6420.9,8085.7,9672.5,8122,11041.2,3299.2,2915.3,3671.2,4295,3606.5,4902.7,3765.2,3327.2,4189.9,5135.7,4312.4,5862.4,201.8,178.3,224.6,241.9,203.1,276.2,1.4,1.1,1.5,0.06
Sudan,26725.3,23691.7,29798.4,43419,36966.6,49713.6,11884.4,10535.4,13251,16589.3,14124,18994.3,13918.8,12338.8,15519.3,25440.5,21659.9,29128.7,922.1,817.4,1028.1,1389.3,1182.8,1590.7,2.3,2.1,2.4,0.08
Wales,2947.8,2730.7,3179.3,3152.1,2941.7,3366,567.4,525.6,612,524.2,489.2,559.8,1874.6,1736.6,2021.9,1964,1832.8,2097.2,505.8,468.5,545.5,664,619.6,709,0.3,0.3,0.4,1.27
England,49248.9,45611.4,52860.7,57250.4,53397.4,60933.7,9332.6,8643.3,10017,10044.2,9368.3,10690.5,32131.4,29758.2,34487.8,36776.6,34301.5,39142.7,7784.9,7210,8355.9,10429.5,9727.6,11100.6,0.7,0.7,0.7,1.04
