lancet_label,val.pop_22_2000,lower.pop_22_2000,upper.pop_22_2000,val.pop_22_2021,lower.pop_22_2021,upper.pop_22_2021,val.pop_39_2000,lower.pop_39_2000,upper.pop_39_2000,val.pop_39_2021,lower.pop_39_2021,upper.pop_39_2021,val.pop_200_2000,lower.pop_200_2000,upper.pop_200_2000,val.pop_200_2021,lower.pop_200_2021,upper.pop_200_2021,val.pop_154_2000,lower.pop_154_2000,upper.pop_154_2000,val.pop_154_2021,lower.pop_154_2021,upper.pop_154_2021,val.popROC,lower.popROC,upper.popROC,pop_ratio
New Zealand,3863.7,3576.5,4151.8,5169.5,4717.4,5607.4,878.1,812.8,943.5,981.7,895.9,1064.9,2531.2,2343,2719.9,3378,3082.6,3664.2,454.5,420.7,488.4,809.8,739,878.4,1.4,1.3,1.4,0.82
Western Europe,398473.4,390838,405423.5,437389.3,422281.1,450956.7,68018,66665.6,69253.9,68118.3,65859,70200.9,265889.3,260823.7,270477,279291.5,269572.5,287993.1,64566.1,63293.3,65720.3,89979.4,86747.7,92902.8,0.4,0.3,0.5,1.32
Andorra,65.6,65.2,66.1,85.6,77.6,94.3,10.1,10,10.2,10.2,9.2,11.2,47.5,47.2,47.8,61.7,56,68,8.1,8,8.1,13.7,12.4,15.1,1.3,0.8,1.7,1.34
Austria,8017.9,7447.8,8595.5,8982.3,8089.5,9783.2,1360.6,1263.9,1458.6,1297,1168.1,1412.7,5414.4,5029.4,5804.4,5970.4,5377,6502.7,1242.9,1154.5,1332.5,1714.9,1544.4,1867.8,0.5,0.4,0.6,1.32
Belgium,10256.8,9507.5,11033,11469.3,10320.4,12561.5,1805.5,1673.7,1942.2,1912.1,1720.6,2094.2,6725.1,6233.9,7234.1,7314.3,6581.6,8010.8,1726.1,1600,1856.7,2242.9,2018.2,2456.5,0.5,0.4,0.6,1.17
Cyprus,918.4,851,983.4,1357.8,1173.2,1539.5,203.7,188.7,218.1,218.7,189,248,620.5,575,664.5,940.8,812.9,1066.7,94.2,87.3,100.9,198.3,171.3,224.8,1.9,1.5,2.1,0.91
Denmark,5334.9,5292.3,5378.4,5851.8,5304.9,6409.2,981.6,973.8,989.6,954.2,865,1045.1,3557.8,3529.4,3586.8,3719,3371.4,4073.3,795.5,789.2,802,1178.6,1068.4,1290.9,0.4,0,0.8,1.24
Finland,5189,5152.4,5226.7,5535.9,4950.3,6058.5,935.7,929.1,942.5,847.1,757.5,927.1,3468.9,3444.4,3494,3397.9,3038.5,3718.7,784.4,778.9,790.1,1290.9,1154.3,1412.8,0.3,-0.2,0.7,1.52
France,59907.8,55483.3,64350,66389.9,59549.2,73473.2,11386.8,10545.9,12231.2,11607.6,10411.6,12846.1,39084.7,36198.1,41982.9,41021.8,36795,45398.5,9436.2,8739.3,10135.9,13760.5,12342.6,15228.6,0.5,0.3,0.6,1.19
Germany,82314.6,81624.1,83040.1,85371.8,76247.5,93978.8,12789.9,12682.6,12902.6,11964.6,10685.9,13170.9,55831,55362.6,56323.1,54851.8,48989.4,60381.8,13693.7,13578.8,13814.4,18555.4,16572.3,20426.2,0.2,-0.3,0.6,1.55
Greece,11089.3,10270.5,11918.4,10174.9,8728.5,11509,1723.3,1596,1852.1,1394.8,1196.5,1577.6,7561.9,7003.5,8127.3,6469.3,5549.7,7317.6,1804.1,1670.9,1939,2310.8,1982.3,2613.8,-0.4,-0.8,-0.2,1.66
Iceland,279.3,277.1,281.7,350.4,317.8,384,65,64.5,65.6,67.5,61.3,74,181.8,180.3,183.3,227.6,206.5,249.5,32.5,32.3,32.8,55.2,50.1,60.5,1.1,0.7,1.5,0.82
Ireland,3867.1,3559.3,4168.9,4941.4,4419.9,5452.1,848.9,781.3,915.1,997.2,892,1100.3,2590.9,2384.7,2793.1,3192.8,2855.8,3522.7,427.3,393.3,460.7,751.4,672.1,829.1,1.2,1.1,1.3,0.75
Israel,6390,5761.6,7073.6,9593.9,8199.8,11048,1839.1,1658.2,2035.8,2627.7,2245.9,3026,3937.1,3549.9,4358.2,5769.3,4930.9,6643.6,613.9,553.5,679.6,1196.9,1023,1378.3,1.9,1.7,2.1,0.46
Italy,56658.8,52416.8,60668.2,59811.5,54355.5,65104.9,8102.3,7495.7,8675.7,7599.9,6906.6,8272.5,38183.9,35325.1,40886,38186.7,34703.3,41566.3,10372.5,9596,11106.5,14024.9,12745.5,15266.1,0.3,0.2,0.3,1.85
Luxembourg,433.6,401.3,466.2,644.3,588.9,702.8,81.9,75.8,88.1,101.2,92.5,110.4,291.4,269.7,313.3,447,408.7,487.7,60.3,55.8,64.8,96,87.8,104.7,1.9,1.8,1.9,0.95
Malta,402,362.9,442.4,442.2,384.5,500.1,80.1,72.3,88.2,64,55.7,72.4,272,245.5,299.3,278.1,241.8,314.6,50,45.1,55,100.1,87,113.2,0.4,0.3,0.6,1.56
Netherlands,15889.1,15759.8,16020.5,17210.7,15589.2,18893.1,2952.2,2928.2,2976.6,2682,2429.3,2944.2,10775.9,10688.2,10865,11069.9,10027,12152.1,2161,2143.4,2178.9,3458.7,3132.9,3796.8,0.4,-0.1,0.8,1.29
Norway,4479.7,4443.5,4517.5,5418.1,4934.4,5962.8,893.2,886,900.7,923.8,841.3,1016.7,2897.4,2874,2921.8,3522.5,3208,3876.6,689.1,683.6,694.9,971.8,885,1069.5,0.9,0.5,1.3,1.05
Portugal,10538.8,9783.6,11300.4,10607.8,9229.9,12049.1,1717.5,1594.4,1841.6,1362.3,1185.3,1547.3,7157,6644.1,7674.2,6825.5,5938.9,7752.8,1664.4,1545.1,1784.6,2420.1,2105.7,2748.9,0,-0.3,0.3,1.78
Spain,40809.4,40549.2,41051.4,45549.3,40964.6,49913.2,6072.5,6033.8,6108.5,6480.8,5828.5,7101.7,27875.6,27697.9,28040.9,29873.7,26866.7,32735.7,6861.2,6817.5,6901.9,9194.9,8269.4,10075.8,0.5,0,0.9,1.42
Sweden,8902.4,8829.6,8976,10373.5,9389.2,11397.2,1633.3,1619.9,1646.8,1820.7,1648,2000.4,5726.6,5679.7,5773.9,6417.1,5808.2,7050.3,1542.6,1529.9,1555.3,2135.7,1933,2346.4,0.7,0.3,1.1,1.17
Switzerland,7300.3,6820.2,7764,8922.8,8053.9,9863.3,1246.4,1164.4,1325.6,1332.5,1202.7,1472.9,4925.5,4601.6,5238.4,5885.2,5312.1,6505.5,1128.3,1054.1,1200,1705.1,1539.1,1884.8,1,0.8,1.1,1.28
UK,59037.8,55364,62630.1,67848.4,63908.5,71608.2,11223.4,10523,11904.9,11783,11093.8,12441.7,38502.7,36106.2,40847.2,43558.6,41032.2,45975.3,9311.7,8734.7,9877,12506.7,11787.5,13191.2,0.7,0.6,0.7,1.06
Southern Latin America,55240.7,52388.8,58208.5,67694.4,61443.5,74178.5,15390.6,14585.4,16233.3,14495.5,13100.5,15936.4,34673.5,32881.2,36533.5,45089.4,40945,49391.3,5176.6,4907.8,5457.9,8109.5,7373.9,8869.7,1,0.7,1.2,0.56
Argentina,36797.4,34189.8,39646,45487.2,39214.8,51849.6,10476.8,9734.4,11287.8,10183.4,8779.1,11607.7,22729.1,21118.5,24488.6,30052.2,25908.2,34255.7,3591.5,3337,3869.5,5251.6,4527.5,5986.2,1,0.7,1.3,0.52
Chile,15142.7,13877.7,16347.7,18797.8,17095.7,20570.3,4094.5,3752.4,4420.3,3651.8,3321.2,3996.2,9890.2,9064,10677.2,12820,11659.1,14028.8,1158,1061.3,1250.2,2326.1,2115.4,2545.4,1,1,1.1,0.64
Uruguay,3297.5,2988.8,3604.8,3405.6,2986.7,3863.6,818.5,741.9,894.8,659.5,578.4,748.2,2052.2,1860.1,2243.5,2214.7,1942.3,2512.6,426.8,386.8,466.6,531.4,466,602.8,0.1,-0,0.3,0.81
High-income North America,311425.8,291743.6,330681.7,370174.5,346061.4,393849.8,66680.9,62418.2,70819.8,65618.9,61305.6,69846.3,206479.9,193469.2,219241.5,240402.7,224737,255778.8,38265,35855.8,40630,64152.9,60019.6,68212.5,0.8,0.8,0.8,0.98
Canada,30302.2,28134.9,32399.8,37469.2,35050.8,40168.3,5916.2,5493.1,6325.8,6171.8,5773.5,6616.4,20551.3,19081.4,21973.9,24262.3,22696.4,26010.1,3834.7,3560.4,4100.1,7035.1,6581,7541.8,1,1,1,1.14
USA,281061.2,261389.5,300553.5,332643.4,308380.9,356795.8,60748.1,56496.3,64961.1,59434.3,55099.3,63749.7,185886.4,172876.1,198778.1,216097.5,200335.6,231787.8,34426.7,32017.2,36814.3,57111.6,52946,61258.3,0.8,0.8,0.8,0.96
Latin America and Caribbean,465265.4,450113.3,479851,594118.8,559806.3,626195.1,152473.2,147778.6,157136.1,143277.9,135557.6,150449.3,287710.2,278034.3,296841.1,397598.4,374152.8,419629.6,25082.1,24216.2,25891.3,53242.5,49846,56429.6,1.2,1,1.3,0.37
Caribbean,40145.4,38746.8,41601.6,47458.7,44304,50863.1,12082.5,11640.5,12532.1,11505.1,10580.1,12524.6,25194.9,24317.3,26110.4,31198.9,29172.8,33461.8,2868,2762,2974.5,4754.8,4467.5,5054.1,0.8,0.6,1,0.41
Antigua and Barbuda,76.4,70.3,82.2,89.4,78.4,100.4,21.6,19.9,23.2,16.9,14.8,19,49.7,45.7,53.4,63.6,55.7,71.4,5.1,4.7,5.5,8.9,7.8,10,0.7,0.5,1,0.53
The Bahamas,303.1,283,324.7,388,333.9,443.8,85.4,79.7,91.4,81.2,69.9,92.9,201.8,188.4,216.1,274.9,236.6,314.5,16,14.9,17.1,31.8,27.4,36.4,1.2,0.8,1.5,0.39
Barbados,257,240.1,273.1,299,259.9,342.3,56.7,53,60.3,47.1,40.9,53.9,169.6,158.5,180.3,202.8,176.3,232.1,30.6,28.6,32.5,49.2,42.7,56.3,0.7,0.4,1.1,1.04
